lg,name,screen_name,user_id,followers_count,created_at
seriea,Genoa CFC,GenoaCFC,319086477,339280,2011-06-17T14:55:35Z
champ,Middlesbrough FC,Boro,370631455,330699,2011-09-09T11:00:37Z
champ,Derby County,dcfcofficial,159041674,327297,2010-06-24T08:44:02Z
champ,Sheffield Wednesday,swfc,6448082,318427,2007-05-30T17:06:45Z
seriea,Udinese Calcio,Udinese_1896,298038413,304493,2011-05-13T15:13:16Z
bund,VfL Wolfsburg,VfL_Wolfsburg,15915062,285806,2008-08-20T07:25:47Z
seriea,U.S. Sassuolo,SassuoloUS,494931397,284617,2012-02-17T12:16:36Z
ligue1,FC LORIENT 🐟,FCLorient,338891581,281442,2011-07-20T07:46:18Z
bund,SC Freiburg,scfreiburg,41323269,277644,2009-05-20T08:47:53Z
seriea,Hellas Verona FC,HellasVeronaFC,546103238,266902,2012-04-05T16:32:54Z
ligue1,Racing Club de Lens,RCLens,123564292,254127,2010-03-16T13:46:34Z
laliga,C. A. OSASUNA,CAOsasuna,177890401,246709,2010-08-13T09:26:48Z
champ,Blackburn Rovers,Rovers,20436307,246564,2009-02-09T13:57:50Z
laliga,SD Eibar,SDEibar,442869924,237895,2011-12-21T15:17:50Z
laliga,Elche Club de Fútbol 🌴,elchecf,224660508,233397,2010-12-09T15:09:35Z
ligue1,Stade de Reims,StadeDeReims,126244275,227076,2010-03-25T07:11:46Z
laliga,Deportivo Alavés,Alaves,186055984,221676,2010-09-02T13:51:41Z
champ,Huddersfield Town,htafc,116754180,214898,2010-02-23T13:37:12Z
bund,Die Roten Bullen,DieRotenBullen,324992991,210967,2011-06-27T15:20:56Z
bund,TSG Hoffenheim,tsghoffenheim,61477513,208818,2009-07-30T12:45:19Z
bund,FC Augsburg,FCAugsburg,425850229,201104,2011-12-01T14:24:20Z
bund,1. FSV Mainz 05,1FSVMainz05,48323591,191743,2009-06-18T11:45:30Z
champ,Bristol City FC,BristolCity,104167025,185502,2010-01-12T13:50:41Z
seriea,Bologna Fc 1909,BfcOfficialPage,634434718,173672,2012-07-13T09:24:00Z
champ,Brentford FC,BrentfordFC,103036163,169906,2010-01-08T17:16:25Z
ligue1,FC Metz ☨,FCMetz,596230054,165287,2012-06-01T07:36:44Z
laliga,Cádiz Club de Fútbol,Cadiz_CF,39945056,159650,2009-05-14T06:49:40Z
bund,1. FC Union Berlin,fcunion,188006776,154221,2010-09-07T18:12:42Z
ligue1,RC Strasbourg Alsace,RCSA,627377507,146055,2012-07-05T13:18:16Z
champ,Barnsley FC,BarnsleyFC,115640722,143649,2010-02-19T11:24:41Z
laliga,SD Huesca,SDHuesca,97429809,141094,2009-12-17T12:20:40Z
laliga,Getafe C.F.,GetafeCF,3511605017,135474,2015-09-01T10:35:27Z
champ,Millwall FC 💙,MillwallFC,218990507,131268,2010-11-23T17:02:41Z
champ,Coventry City,Coventry_City,70677962,130778,2009-09-01T13:25:09Z
ligue1,Angers SCO,AngersSCO,318695478,129157,2011-06-16T22:13:39Z
ligue1,Dijon FCO,DFCO_Officiel,84288520,119038,2009-10-22T09:56:49Z
champ,Preston North End FC,pnefc,17191889,108714,2008-11-05T16:36:29Z
champ,Rotherham United,OfficialRUFC,382122569,99966,2011-09-29T14:37:49Z
champ,@LutonTown,LutonTown,35761373,95507,2009-04-27T14:57:13Z
ligue1,Nîmes Olympique,nimesolympique,81313583,87386,2009-10-10T08:39:11Z
champ,Wycombe Wanderers,wwfcofficial,97246282,86729,2009-12-16T16:55:18Z
bund,DSC Arminia Bielefeld,arminia,85852009,86667,2009-10-28T16:19:49Z
ligue1,Stade Brestois 29,SB29,606345615,78120,2012-06-12T12:04:37Z
ered,AZ,AZAlkmaar,58893405,75731,2009-07-21T19:32:30Z
ered,FC Utrecht,fcutrecht,19496630,73176,2009-01-25T17:46:07Z
ered,Roda JC Kerkrade,RodaJCKerkrade,65515536,48349,2009-08-14T00:42:04Z
ered,NAC Breda 💛🖤,NACnl,109208746,46806,2010-01-28T09:08:48Z
ered,SC Cambuur,SCCambuurLwd,239898305,46351,2011-01-18T17:52:34Z
ered,N.E.C. Nijmegen,necnijmegen,36011363,43109,2009-04-28T06:56:56Z
seriea,Parma Calcio 1913,1913parmacalcio,3375596926,39679,2015-07-14T10:54:37Z
ered,De Graafschap,DeGraafschap,20815358,38434,2009-02-13T22:57:11Z
