player_id,foot,country,tier,gender,season_end_year,player,url
7696cc85,right,BRA,1st,M,2021,Rodinei,https://fbref.com//en/players/7696cc85/Rodinei
7696cc85,right,BRA,1st,M,2020,Rodinei,https://fbref.com//en/players/7696cc85/Rodinei
7696cc85,right,BRA,1st,M,2019,Rodinei,https://fbref.com//en/players/7696cc85/Rodinei
d05d6389,right,NED,1st,M,2022,Rodney Kongolo,https://fbref.com//en/players/d05d6389/Rodney-Kongolo
d05d6389,right,NED,1st,M,2021,Rodney Kongolo,https://fbref.com//en/players/d05d6389/Rodney-Kongolo
d05d6389,right,NED,1st,M,2020,Rodney Kongolo,https://fbref.com//en/players/d05d6389/Rodney-Kongolo
d05d6389,right,NED,1st,M,2019,Rodney Kongolo,https://fbref.com//en/players/d05d6389/Rodney-Kongolo
cf130a53,right,BRA,1st,M,2021,Rodolfo,https://fbref.com//en/players/cf130a53/Rodolfo
a4a5868e,right,MEX,1st,M,2022,Rodolfo Cota,https://fbref.com//en/players/a4a5868e/Rodolfo-Cota
a4a5868e,right,MEX,1st,M,2021,Rodolfo Cota,https://fbref.com//en/players/a4a5868e/Rodolfo-Cota
a4a5868e,right,MEX,1st,M,2020,Rodolfo Cota,https://fbref.com//en/players/a4a5868e/Rodolfo-Cota
a4a5868e,right,MEX,1st,M,2019,Rodolfo Cota,https://fbref.com//en/players/a4a5868e/Rodolfo-Cota
5e748e06,right,BRA,1st,M,2020,Rodolfo Filemon,https://fbref.com//en/players/5e748e06/Rodolfo-Filemon
f5cc8631,right,POR,1st,M,2022,Rodolfo Furtado,https://fbref.com//en/players/f5cc8631/Rodolfo-Furtado
f5cc8631,right,POR,1st,M,2020,Rodolfo Furtado,https://fbref.com//en/players/f5cc8631/Rodolfo-Furtado
4b49ed54,right,MEX,1st,M,2022,Rodolfo Pizarro,https://fbref.com//en/players/4b49ed54/Rodolfo-Pizarro
4b49ed54,right,MEX,1st,M,2020,Rodolfo Pizarro,https://fbref.com//en/players/4b49ed54/Rodolfo-Pizarro
4b49ed54,right,MEX,1st,M,2019,Rodolfo Pizarro,https://fbref.com//en/players/4b49ed54/Rodolfo-Pizarro
4b49ed54,right,USA,1st,M,2021,Rodolfo Pizarro,https://fbref.com//en/players/4b49ed54/Rodolfo-Pizarro
4b49ed54,right,USA,1st,M,2020,Rodolfo Pizarro,https://fbref.com//en/players/4b49ed54/Rodolfo-Pizarro
a2bffddb,left,USA,1st,M,2019,Rodolfo Zelaya,https://fbref.com//en/players/a2bffddb/Rodolfo-Zelaya
6434f10d,right,ENG,1st,M,2022,Rodri,https://fbref.com//en/players/6434f10d/Rodri
6434f10d,right,ENG,1st,M,2021,Rodri,https://fbref.com//en/players/6434f10d/Rodri
6434f10d,right,ENG,1st,M,2020,Rodri,https://fbref.com//en/players/6434f10d/Rodri
6434f10d,right,ENG,1st,M,2019,Rodri,https://fbref.com//en/players/6434f10d/Rodri
6434f10d,right,ESP,1st,M,2019,Rodri,https://fbref.com//en/players/6434f10d/Rodri
6434f10d,right,ESP,1st,M,2018,Rodri,https://fbref.com//en/players/6434f10d/Rodri
cdfb04f5,right,BRA,1st,M,2022,Rodrigo,https://fbref.com//en/players/cdfb04f5/Rodrigo
cdfb04f5,right,POR,1st,M,2020,Rodrigo,https://fbref.com//en/players/cdfb04f5/Rodrigo
1fb1c435,left,ENG,1st,M,2022,Rodrigo,https://fbref.com//en/players/1fb1c435/Rodrigo
1fb1c435,left,ENG,1st,M,2021,Rodrigo,https://fbref.com//en/players/1fb1c435/Rodrigo
1fb1c435,left,ENG,1st,M,2020,Rodrigo,https://fbref.com//en/players/1fb1c435/Rodrigo
1fb1c435,left,ESP,1st,M,2020,Rodrigo,https://fbref.com//en/players/1fb1c435/Rodrigo
1fb1c435,left,ESP,1st,M,2019,Rodrigo,https://fbref.com//en/players/1fb1c435/Rodrigo
1fb1c435,left,ESP,1st,M,2018,Rodrigo,https://fbref.com//en/players/1fb1c435/Rodrigo
85bed4ee,left,ESP,1st,M,2022,Rodrigo,https://fbref.com//en/players/85bed4ee/Rodrigo
85bed4ee,left,ESP,1st,M,2021,Rodrigo,https://fbref.com//en/players/85bed4ee/Rodrigo
