school_band,school_fb,not_downloaded,is_ambiguous
Lebanon Trail,Frisco Lebanon Trail,,
Lewisville,Lewisville,,
Lone Star,Frisco Lone Star,,
Longview,Longview,,
Lopez,Brownsville Lopez,,
Lubbock,Lubbock,,
Marcus Flower Mound,Flower Mound Marcus,,
McAllen,McAllen,,
McCallum,Austin McCallum,,
McCollum San Antonio,San Antonio McCollum,,
McKinney,McKinney,,
McKinney North,McKinney North,,
Mesquite Poteet,Mesquite Poteet,,
Midland,Midland,,
Midland Lee,Midland Lee,,
Midlothian,Midlothian,,
Monterey,Lubbock Monterey,,
Montwood,El Paso Montwood,,
New Caney Porter,New Caney Porter,,
Nixon,Laredo Nixon,,
North Forney,North Forney,,
North Shore Houston,Galena Park North Shore,,
Northside Marshall San Antonio,San Antonio Marshall,,
Northside Taft San Antonio,San Antonio Taft,,
Northwest Justin,Justin Northwest,,
Oak Ridge,Conroe Oak Ridge,,
O'Connor Helotes,San Antonio O'Connor,,
Odessa,Odessa,,
Pace,Brownsville Pace,,
Pasadena Rayburn,Pasadena Rayburn,,
Pearland,Pearland,,
Pebble Hills,El Paso Pebble Hills,,
Permian Odessa,Odessa Permian,,
Pflugerville,Pflugerville,,
Pharr-San Juan-Alamo North,Pharr-San Juan-Alamo North,,
Pine Tree Longview,Longview Pine Tree,,
Plainview,Plainview,,
Plano,Plano,,
Plano East,Plano East,,
Prosper,Prosper,,
PSJA,Pharr-San Juan-Alamo,,
Richland N Richland Hills,North Richland Hills Richland,,
Ridge Point Missouri City,Fort Bend Ridge Point,,
Rio Grande City,Rio Grande City,,
Rockwall,Rockwall,,
Roma,Roma,,
Round Rock,Round Rock,,
Round Rock Westwood Austin,Round Rock Westwood,,
Rouse,Leander Rouse,,
Rowlett,Garland Rowlett,,
Saginaw,Saginaw,,
San Angelo Central,San Angelo Central,,
San Antonio Johnson,San Antonio Johnson,,
San Antonio Lee,San Antonio LEE,,
San Antonio MacArthur,San Antonio Macarthur,,
San Antonio Reagan,San Antonio Reagan,,
San Antonio Southwest,San Antonio Southwest,,
San Benito,San Benito,,
Seguin,Seguin,,
Seven Lakes,Katy Seven Lakes,,
Sharyland Mission,Mission Sharyland,,
Sharyland Pioneer,Mission Sharyland Pioneer,,
South Grand Prairie,South Grand Prairie,,
Spring,Spring,,
Temple,Temple,,
The Colony,The Colony,,
The Woodlands,The Woodlands,,
The Woodlands College Park,The Woodlands College Park,,
Tivy,Kerrville Tivy,,
Tomball,Tomball,,
Tomball Memorial,Tomball Memorial,,
Tompkins,Katy Tompkins,,
Vandegrift Austin,Austin Vandegrift,,
Vela,Edinburg Vela,,
Victoria Memorial,,,TRUE
Vista Ridge Cedar Park,Cedar Park Vista Ridge,,
Wakeland,Frisco Wakeland,,
Waxahachie,Waxahachie,,
Weiss,Pflugerville Weiss,,
Weslaco,Weslaco,,
Westfield Houston,Spring Westfield,,
Westlake Austin,Austin Westlake ,,
Willis,Willis,,
Wylie,Wylie,,
Wylie East,Wylie East,,
Ysleta El Paso,El Paso Ysleta,,
