school_band,school_fb,not_downloaded,is_ambiguous
Abilene,Abilene,,
Abilene Cooper,Abilene Cooper,,
Akins,Austin Akins,,
Aldine Houston,Aldine,,
Aledo,Aledo,,
Alexander Laredo,Laredo Alexander,,
Amarillo,Amarillo,,
Americas,El Paso Americas,,
Anderson,Austin Anderson,,
Arlington Martin,Arlington Martin,,
Austin,Austin Stephen F. Austin,,
Austin Bowie,Austin Bowie,,
Austin Crockett,Austin Crockett,,
Barbers Hill Mont Belvieu,Barbers Hill,,
Baytown Sterling,Baytown Sterling,,
Bel Air El Paso,El Paso Bel Air,,
Berkner,Richardson Berkner,,
Birdville N Richland Hills,North Richland Hills Birdville,,
Brazoswood Clute,Brazoswood,,
Bryan,Bryan,,
Burleson,Burleson,,
Burleson Centennial,Burleson Centennial,,
Calhoun Port Lavaca,,TRUE,
Cedar Park,Cedar Park,,
Cedar Ridge,Round Rock Cedar Ridge,,
Chisholm Trail Fort Worth,Fort Worth Chisholm Trail,,
Churchill San Antonio,San Antonio Churchill,,
Cinco Ranch,Katy Cinco Ranch,,
Clark San Antonio,San Antonio Clark,,
Clear Brook Friendswood,Clear Brook,,
Clear Creek League City,Clear Creek,,
Clear Lake Houston,Clear Lake,,
Clements Sugar Land,,TRUE,
Colleyville Heritage,Colleyville Heritage,,
Coppell,Coppell,,
Creekview,Carrollton Creekview,,
Crosby,Crosby,,
Cy-Fair,Cypress Fairbanks,,
Cypress Falls Houston,Cypress Falls,,
Cypress Woods,Cypress Woods,,
Dallas Highland Park,Highland Park,,
Dawson Pearland,Pearland Dawson,,
Del Valle,El Paso Del Valle,,TRUE
Denton,Denton,,
DeSoto,DeSoto,,
Dickinson,Dickinson,,
Dobie,Pasadena Dobie,,
Donna,Donna,,
Donna North,Donna North,,
Dripping Springs,Dripping Springs,,
Duncanville,Duncanville,,
Eastlake,El Paso Eastlake,,
Eastwood El Paso,El Paso Eastwood,,
Edinburg North,Edinburg North,,
El Paso Coronado,El Paso Coronado,,
Ellison,Killeen Ellison,,
Euless Trinity,Euless Trinity,,
Flower Mound,Flower Mound,,
Forney,Forney,,
Fort Bend Austin Sugar Land,Fort Bend Austin,,
Fort Worth Southwest,Fort Worth Southwest,,
Fossil Ridge,Keller Fossil Ridge,,
Foster Richmond,Richmond Foster,,
Franklin El Paso,El Paso Franklin,,
Frenship Wolfforth,Wolfforth Frenship,,
Friendswood,Friendswood,,
Frisco Centennial,Frisco Centennial,,
Georgetown,Georgetown,,
Glenn,Leander Glenn,,
Haltom Haltom City,Haltom City Haltom,,
Hanks El Paso,El Paso Hanks,,
Hanna,Brownsville Hanna,,
Harlingen,Harlingen,,
Harlingen South,Harlingen South,,
Hebron Carrollton,Lewisville Hebron,,
Hendrickson,Pflugerville Hendrickson,,
Holmes San Antonio,San Antonio Holmes,,
Horizon El Paso,,TRUE,
Horn,Mesquite Horn,,
Irving Nimitz,Irving Nimitz,,
Jersey Village,Jersey Village,,
Katy,Katy,,
Katy Taylor,Katy Taylor,,
Keller,Keller,,
Keller Central,Keller Central,,
Kingwood,Humble Kingwood,,
Klein,Klein,,
Klein Forest,Klein Forest,,
L.D. Bell,Hurst LD Bell,,
La Joya,La Joya,,
La Porte,La Porte,,
Lake Highlands Dallas,Richardson Lake Highlands,,
Lake Travis Austin,,TRUE,
Langham Creek Houston,Langham Creek,,
Laredo Martin,Laredo Martin,,
Laredo United,Laredo United,,
Leander,Leander,,
