season_id,player_name,team_name,pos_grp,pos_11,minutes_played,euro,ovaep_orig,dvaep_orig,vaep_orig,ovaep_atomic,dvaep_atomic,vaep_atomic,davies,x_goals_added
2020,Harry Kane,Tottenham,F,FWC,3312,120000000,16.7882997950147,-0.4792229977902025,16.3090767972245,30.68826643436487,1.853200006458792,32.54146644082366,8.62,12.21
2020,Mohamed Salah,Liverpool,F,FWR,3326,110000000,13.68684299227257,-0.300860152754467,13.385982839518103,29.08167412801063,0.6410214256029576,29.722695553613587,9.06,12.65
2020,Ollie Watkins,Aston Villa,F,FWC,3600,32000000,3.383497278555721,-0.3593275381717831,3.024169740383938,25.325616084621714,1.1799256181257078,26.505541702747422,6.57,10.16
2020,Dominic Calvert-Lewin,Everton,F,FWC,3089,45000000,5.786912955747917,-0.5356475038570352,5.251265451890882,25.04115774357016,1.372368647775147,26.413526391345307,5.9,9.49
2020,Patrick Bamford,Leeds,F,FWC,3247,18000000,5.269888321808033,-0.6140761906281114,4.655812131179921,24.09100905677486,1.2533095189573942,25.344318575732252,6.99,10.57
2020,Sadio Mane,Liverpool,F,FWL,3052,100000000,5.626596810406074,-0.5628743467386812,5.063722463667393,23.749213343727053,0.6478116976359161,24.39702504136297,8.64,12.23
2020,Bruno Fernandes,Man Utd,F,FWC,3314,90000000,15.355133964098785,-1.2672551457071677,14.087878818391617,22.790168253181765,1.1958788258198183,23.986047079001583,6.13,10.07
2020,Son Heung-Min,Tottenham,F,FWL,3326,85000000,13.076146619170652,-0.33011097845155746,12.746035640719095,22.423664611642344,1.246955390990479,23.670620002632823,5.48,8.53
2020,Tomas Soucek,West Ham,M,MC,3673,40000000,6.370140609971713,-0.44830114988144487,5.921839460090268,18.572530576682766,4.215127628369373,22.78765820505214,5.04,7.1
2020,Roberto Firmino,Liverpool,F,FWC,3032,55000000,3.4494437871552073,-0.07352263893699273,3.3759211482182145,20.90876469575672,1.537958622298902,22.44672331805562,6.32,9.91
2020,Chris Wood,Burnley,F,FWC,2911,8000000,1.2837936845062823,-0.2666274389484897,1.0171662455577926,21.02820148872347,0.9972224874945823,22.025423976218054,3.51,7.1
2020,Christian Benteke,Crystal Palace,F,FWC,1973,9000000,1.9091619153041393,-0.611250012065284,1.2979119032388553,17.066764710543794,2.369067225881736,19.43583193642553,1.4,5.22
2020,Sam Johnstone,West Brom,G,GK,3579,6000000,4.936616607767064,3.6744963948149234,8.611113002581988,1.7473778074345319,17.687782298686216,19.435160106120748,,
2020,Aaron Ramsdale,Sheff Utd,G,GK,3686,12000000,4.8471073472173885,2.8125231089652516,7.65963045618264,1.4611097835440887,17.887071526347427,19.348181309891515,,
2020,Raheem Sterling,Man City,F,FWL,2706,100000000,4.429128641351804,-0.2869757044245489,4.142152936927255,18.72278015899249,0.5033427828748245,19.226122941867313,7.04,10.1
2020,Marcus Rashford,Man Utd,F,FWL,3124,85000000,9.014091038083658,-0.387050868361257,8.6270401697224,18.325671243245246,0.8536608126451029,19.17933205589035,6.07,9.65
2020,Emiliano Martinez,Aston Villa,G,GK,3700,25000000,4.207459515891969,4.103483745013364,8.310943260905333,1.6753405736817513,16.97447443267447,18.64981500635622,,
2020,Jamie Vardy,Leicester,F,FWC,3031,10000000,2.568544118885465,-0.17106451495783404,2.397479603927631,17.240156470596258,1.27919413636846,18.519350606964718,6.05,9.87
2020,Illan Meslier,Leeds,G,GK,3385,17000000,2.421311965677887,2.912298916839063,5.33361088251695,1.2384144741954515,17.089497294349712,18.327911768545164,,
2020,Vicente Guaita,Crystal Palace,G,GK,3573,3000000,3.4165371503913775,3.299584142223466,6.716121292614844,1.2808081593248062,16.827417558291927,18.108225717616733,,
2020,Michail Antonio,West Ham,F,FWC,2076,12000000,3.6356200913432986,-0.4561634609126486,3.17945663043065,17.573042547883233,0.4637958127714228,18.036838360654656,3.14,6.97
2020,Stuart Dallas,Leeds,M,MC,3657,3000000,10.778082634153776,-0.07946854463079944,10.698614089522977,14.449847920789267,3.535783262937912,17.98563118372718,3.17,6.79
2020,Alphonse Areola,Fulham,G,GK,3487,15000000,2.443869646638632,2.9379142698599026,5.381783916498534,1.0111975495528895,16.476071739118197,17.487269288671087,,
2020,Richarlison,Everton,F,FWC,3054,60000000,2.4921167398879565,-0.11795858305413276,2.3741581568338237,15.344351984722403,1.907870275186724,17.25222225990913,4.7,8.29
2020,Ilkay Gundogan,Man City,M,MC,2173,40000000,10.85838074417222,0.2467405921779573,11.105121336350177,15.903082461107598,1.1986345104523934,17.10171697155999,4.61,7.17
2020,Che Adams,Southampton,F,FWC,2843,18000000,5.9678549591917545,-0.33139595738612115,5.636459001805633,15.654919657332357,1.0686844048905186,16.723604062222876,3.07,6.66
2020,Wilfried Zaha,Crystal Palace,F,FWC,2810,45000000,8.301193726191256,-0.44302754901582375,7.858166177175432,15.673225059683743,0.7270771914190846,16.40030225110283,3.37,6.42
2020,Jack Grealish,Aston Villa,F,FWL,2361,60000000,13.418590588529595,-0.10081257572164759,13.317778012807947,15.105522057978204,1.2875592273194343,16.393081285297637,5.8,9.73
2020,Danny Ings,Southampton,F,FWC,2318,22000000,5.632894607846584,-0.9634243878535926,4.669470219992991,16.04710416325911,0.33287610186380334,16.379980265122914,1.53,5.12
2020,Alexandre Lacazette,Arsenal,F,FWC,2066,35000000,4.9427128058506025,-0.2581479193759151,4.684564886474687,15.581010964864687,0.5123821421148023,16.09339310697949,2.11,5.7
