season_id,player_name,team_name,pos_grp,pos_11,minutes_played,euro,ovaep,dvaep,vaep,davies,xga
2020,Harry Kane,Tottenham,F,FWC,3017,120000000,14.531566684316296,-0.513488041353412,14.018078642962884,7.69,11.28
2020,Ashley Westwood,Burnley,M,MC,3358,5000000,13.56512546507083,0.3439882905804552,13.909113755651285,1.98,4.54
2020,Bruno Fernandes,Man Utd,F,FWC,3218,90000000,14.367730892267339,-1.372434307646472,12.995296584620867,5.45,9.39
2020,Mohamed Salah,Liverpool,F,FWR,3030,110000000,13.211766784497879,-0.4417067904723808,12.770059994025498,7.53,11.12
2020,Son Heung-Min,Tottenham,F,FWL,3034,85000000,13.201960483805024,-0.5147501328610815,12.687210350943943,5.2,8.26
2020,Jack Grealish,Aston Villa,F,FWL,2155,60000000,12.667732484385372,-0.3333721549715847,12.334360329413787,5.4,9.33
2020,Stuart Dallas,Leeds,M,MC,3367,3000000,11.002478125592228,-0.4622178514255211,10.540260274166707,2.87,6.5
2020,Trent Alexander-Arnold,Liverpool,D,DR,2986,100000000,11.788217809928582,-1.3475697516696528,10.440648058258928,6.25,8.99
2020,Ilkay Gundogan,Man City,M,MC,2009,40000000,9.92889670260945,0.13747557124588639,10.066372273855336,4.03,6.59
2020,Riyad Mahrez,Man City,F,FWR,1897,42000000,9.649872641003691,-0.26051513181300834,9.389357509190683,2.3,6.27
2020,Matheus Pereira,West Brom,M,MR,2623,13000000,9.354238930558239,-0.547818316030316,8.806420614527923,1.73,5.66
2020,James Ward-Prowse,Southampton,M,MC,3399,28000000,8.894426480317406,-0.13998896384146065,8.754437516475946,2.96,5.02
2020,Harvey Barnes,Leicester,F,FWL,2119,35000000,8.501837938907556,-0.17132780200336128,8.330510136904195,2.25,5.3
2020,Sam Johnstone,West Brom,G,GK,3284,6000000,4.368507505045272,3.9446753922384232,8.313182897283696,,
2020,Aaron Cresswell,West Ham,D,DL,3108,6000000,8.974676220019347,-0.6873408083920367,8.28733541162731,3.52,5.81
2020,Emiliano Martinez,Aston Villa,G,GK,3404,25000000,4.089494332612958,4.111018669907935,8.200513002520893,,
2020,James Maddison,Leicester,F,FWC,2110,60000000,8.674590937073342,-0.575305082835257,8.099285854238085,2.03,5.97
2020,Lewis Dunk,Brighton,D,DC,3097,25000000,7.861150139477104,0.0829016090137884,7.944051748490892,3.13,5.62
2020,Mason Mount,Chelsea,M,MC,2896,60000000,8.383649839698084,-0.4517332130926661,7.9319166266054175,5.18,8.8
2020,Nick Pope,Burnley,G,GK,3081,15000000,5.010361118474975,2.7375444874051027,7.747905605880078,,
2020,Marcus Rashford,Man Utd,F,FWL,3091,85000000,8.260659261661582,-0.5367726781987585,7.723886583462823,6.1,9.15
2020,Raphinha,Leeds,M,MR,2262,25000000,8.752888331032358,-1.0971169280819595,7.655771402950399,,
2020,James Rodriguez,Everton,F,FWR,1785,30000000,7.781199589373544,-0.15892208862351254,7.622277500750031,2,5.13
2020,Matt Targett,Aston Villa,D,DL,3385,17000000,7.863619074011687,-0.5142428305116482,7.349376243500039,3.24,6.1
2020,Kurt Zouma,Chelsea,D,DC,2173,32000000,6.552352489321493,0.7092183325439692,7.261570821865462,0.84,3.86
2020,Luke Shaw,Man Utd,D,DL,2773,25000000,8.58513119996339,-1.5615717889158987,7.023559411047493,3.41,6.83
2020,Gareth Bale,Tottenham,F,FWR,849,20000000,7.020338358315174,-0.18712634465191513,6.833212013663259,-0.54,3.13
2020,Jesse Lingard,West Ham,F,FWC,1229,15000000,6.956090135124937,-0.12854738370515406,6.827542751419783,0.78,3.83
2020,Aaron Ramsdale,Sheff Utd,G,GK,3389,12000000,4.462449209182523,2.3490234310738742,6.811472640256397,,
2020,Jack Harrison,Leeds,M,ML,2738,15000000,6.894264759494923,-0.09576183278113604,6.7985029267137875,3.1,7.03
2020,Youri Tielemans,Leicester,M,MC,3393,55000000,6.840567143764772,-0.09815985732711852,6.742407286437653,2.61,5.74
2020,Matthew Lowton,Burnley,D,DR,2986,3000000,7.003779631108046,-0.3468424390302971,6.6569371920777485,2.29,4.59
2020,Vicente Guaita,Crystal Palace,G,GK,3375,3000000,3.4129547361517325,3.241206744220108,6.65416148037184,,
2020,Lukasz Fabianski,West Ham,G,GK,3195,1500000,3.6292924608569592,2.9754138932330534,6.604706354090013,,
2020,Vladimir Coufal,West Ham,D,DR,2992,10000000,6.718368585803546,-0.11756407358916476,6.600804512214381,2.63,5.49
2020,John Stones,Man City,D,DC,1915,30000000,6.166358460206538,0.2516176389181055,6.417976099124644,0.94,3.96
2020,Pedro Neto,Wolves,F,FWC,2740,35000000,7.0065618902165445,-0.6352453429135494,6.371316547302995,4.06,7.06
2020,Granit Xhaka,Arsenal,M,MC,2637,22000000,6.128919754701201,0.20563643577042967,6.3345561904716305,2.01,4.07
2020,Ruben Neves,Wolves,M,MC,2662,50000000,5.480274980049286,0.6794820590876043,6.15975703913689,2.18,4.24
2020,Jordan Pickford,Everton,G,GK,2675,22000000,3.8532585687353276,2.250172234373167,6.103430803108495,,
2020,Wilfried Zaha,Crystal Palace,F,FWC,2515,45000000,6.579765463597566,-0.47924996027722955,6.100515503320336,2.22,5.28
2020,Kasper Schmeichel,Leicester,G,GK,3467,8000000,2.9410617196699604,3.1479239619220607,6.088985681592021,,
2020,Dwight McNeil,Burnley,M,ML,3034,22000000,6.54217402744852,-0.4808472474687733,6.061326779979747,1.07,4.69
2020,Jordan Henderson,Liverpool,M,MC,1832,22000000,5.487793435161468,0.5691437033237889,6.056937138485257,2.18,4.08
