player_name,team_name,position,mins_played,matches,aerials_won,aerials_lost
"Ryan Sessegnon<span class=""ui-icon country flg-gb-eng""></span>","Tottenham, ",",  D(L),M(LR)  ",1054	,26	,11	,15	
"Kiernan Dewsbury-Hall<span class=""ui-icon country flg-gb-eng""></span>","Leicester, ",",  M(C)  ",2106	,39	,16	,23	
"Christian Pulisic<span class=""ui-icon country flg-us""></span>","Chelsea, ",",  M(CLR),FW  ",1286	,40	,12	,28	
"Jordan Ayew<span class=""ui-icon country flg-gh""></span>","Crystal Palace, ",",  AM(CLR),FW  ",2024	,91	,32	,59	
"Granit Xhaka<span class=""ui-icon country flg-ch""></span>","Arsenal, ",",  D(L),M(C)  ",2331	,56	,27	,29	
"Jack Harrison<span class=""ui-icon country flg-gb-eng""></span>","Leeds, ",",  AM(CLR),FW  ",2652	,73	,19	,54	
"Chris Wood<span class=""ui-icon country flg-nz""></span>","Burnley, ",",  FW  ",1378	,183	,93	,90	
"Joachim Andersen<span class=""ui-icon country flg-dk""></span>","Crystal Palace, ",",  D(C)  ",2915	,104	,56	,48	
"Angelo Ogbonna<span class=""ui-icon country flg-it""></span>","West Ham, ",",  D(C)  ",922	,39	,27	,12	
"Raúl Jiménez<span class=""ui-icon country flg-mx""></span>","Wolverhampton, ",",  FW  ",2640	,148	,63	,85	
"Enock Mwepu<span class=""ui-icon country flg-zm""></span>","Brighton, ",",  M(CR)  ",997	,38	,9	,29	
"Michael Olise<span class=""ui-icon country flg-gb-eng""></span>","Crystal Palace, ",",  AM(CLR)  ",1138	,24	,7	,17	
"Odsonne Édouard<span class=""ui-icon country flg-fr""></span>","Crystal Palace, ",",  AM(L),FW  ",1567	,83	,38	,45	
"Jadon Sancho<span class=""ui-icon country flg-gb-eng""></span>","Manchester United, ",",  AM(CLR)  ",1904	,13	,2	,11	
"Christian Benteke<span class=""ui-icon country flg-be""></span>","Crystal Palace, ",",  FW  ",1136	,143	,86	,57	
"Édouard Mendy<span class=""ui-icon country flg-sn""></span>","Chelsea, ",",  GK  ",3060	,12	,11	,1	
"Ben Johnson<span class=""ui-icon country flg-gb-eng""></span>","West Ham, ",",  D(LR),M(L)  ",1401	,34	,15	,19	
"Martin Dúbravka<span class=""ui-icon country flg-sk""></span>","Newcastle, ",",  GK  ",2340	,5	,4	,1	
"Pablo Marí<span class=""ui-icon country flg-es""></span>","Arsenal, ",",  D(C)  ",180	,8	,5	,3	
"Aaron Ramsdale<span class=""ui-icon country flg-gb-eng""></span>","Arsenal, ",",  GK  ",3060	,9	,7	,2	
"Manuel Lanzini<span class=""ui-icon country flg-ar""></span>","West Ham, ",",  M(CLR)  ",1789	,22	,5	,17	
"Harry Maguire<span class=""ui-icon country flg-gb-eng""></span>","Manchester United, ",",  D(C)  ",2514	,103	,75	,28	
"Danny Ings<span class=""ui-icon country flg-gb-eng""></span>","Aston Villa, ",",  AM(C),FW  ",1906	,67	,27	,40	
"Jean-Philippe Mateta<span class=""ui-icon country flg-fr""></span>","Crystal Palace, ",",  FW  ",1152	,82	,39	,43	
"David de Gea<span class=""ui-icon country flg-es""></span>","Manchester United, ",",  GK  ",3420	,8	,8	,-	
"Ademola Lookman<span class=""ui-icon country flg-gb-eng""></span>","Leicester, ",",  AM(CLR),FW  ",1459	,14	,3	,11	
"Conor Coady<span class=""ui-icon country flg-gb-eng""></span>","Wolverhampton, ",",  D(CR),DMC  ",3364	,56	,32	,24	
"Luke Shaw<span class=""ui-icon country flg-gb-eng""></span>","Manchester United, ",",  D(CL),M(L)  ",1603	,35	,20	,15	
"Robert Sánchez<span class=""ui-icon country flg-es""></span>","Brighton, ",",  GK  ",3330	,17	,17	,-	
"Nemanja Matic<span class=""ui-icon country flg-rs""></span>","Manchester United, ",",  DMC  ",1384	,45	,28	,17	
"Emiliano Martínez<span class=""ui-icon country flg-ar""></span>","Aston Villa, ",",  GK  ",3240	,11	,10	,1	
"Juraj Kucka<span class=""ui-icon country flg-sk""></span>","Watford, ",",  M(CLR)  ",1924	,105	,57	,48	
"Alex McCarthy<span class=""ui-icon country flg-gb-eng""></span>","Southampton, ",",  GK  ",1530	,6	,6	,-	
"Wout Weghorst<span class=""ui-icon country flg-nl""></span>","Burnley, ",",  FW  ",1457	,135	,55	,80	
"Adam Masina<span class=""ui-icon country flg-ma""></span>","Watford, ",",  D(L),M(L)  ",1077	,46	,29	,17	
"Mohamed Elyounoussi<span class=""ui-icon country flg-no""></span>","Southampton, ",",  AM(CLR),FW  ",2046	,84	,38	,46	
"Yerry Mina<span class=""ui-icon country flg-co""></span>","Everton, ",",  D(C)  ",847	,46	,30	,16	
"Fabian Delph<span class=""ui-icon country flg-gb-eng""></span>","Everton, ",",  D(L),M(CL)  ",666	,9	,5	,4	
"Séamus Coleman<span class=""ui-icon country flg-ie""></span>","Everton, ",",  D(CR),M(R)  ",2658	,48	,25	,23	
"Dimitris Giannoulis<span class=""ui-icon country flg-gr""></span>","Norwich, ",",  D(L),M(L)  ",1169	,15	,8	,7	
"Illan Meslier<span class=""ui-icon country flg-fr""></span>","Leeds, ",",  GK  ",3385	,17	,15	,2	
"Connor Roberts<span class=""ui-icon country flg-gb-wls""></span>","Burnley, ",",  D(LR),M(R)  ",1693	,30	,13	,17	
"Jordan Pickford<span class=""ui-icon country flg-gb-eng""></span>","Everton, ",",  GK  ",3150	,12	,11	,1	
"Eddie Nketiah<span class=""ui-icon country flg-gb-eng""></span>","Arsenal, ",",  FW  ",825	,42	,8	,34	
"James Milner<span class=""ui-icon country flg-gb-eng""></span>","Liverpool, ",",  D(LR),M(CLR)  ",851	,23	,13	,10	
"Divock Origi<span class=""ui-icon country flg-be""></span>","Liverpool, ",",  AM(LR),FW  ",127	,6	,2	,4	
"Benjamin Mendy<span class=""ui-icon country flg-fr""></span>","Manchester City, ",",  D(L),DMC,M(L)  ",79	,3	,-	,3	
"Nathan Redmond<span class=""ui-icon country flg-gb-eng""></span>","Southampton, ",",  AM(CLR),FW  ",1834	,45	,13	,32	
"Hamza Choudhury<span class=""ui-icon country flg-gb-eng""></span>","Leicester, ",",  DMC  ",287	,12	,10	,2	
"Armando Broja<span class=""ui-icon country flg-al""></span>","Southampton, ",",  FW  ",1981	,255	,88	,167	
"Joseph Willock<span class=""ui-icon country flg-gb-eng""></span>","Newcastle, ",",  M(C)  ",2047	,40	,16	,24	
"Solly March<span class=""ui-icon country flg-gb-eng""></span>","Brighton, ",",  M(CLR)  ",1739	,43	,17	,26	
"Emil Krafth<span class=""ui-icon country flg-se""></span>","Newcastle, ",",  D(CR)  ",1638	,51	,22	,29	
"Matthew Lowton<span class=""ui-icon country flg-gb-eng""></span>","Burnley, ",",  D(LR),M(R)  ",1772	,42	,25	,17	
"Diego Llorente<span class=""ui-icon country flg-es""></span>","Leeds, ",",  D(C),DMC  ",2344	,114	,50	,64	
"Callum Wilson<span class=""ui-icon country flg-gb-eng""></span>","Newcastle, ",",  FW  ",1395	,80	,29	,51	
"Ismaïla Sarr<span class=""ui-icon country flg-sn""></span>","Watford, ",",  AM(LR),FW  ",1865	,27	,10	,17	
"Alexander Iwobi<span class=""ui-icon country flg-ng""></span>","Everton, ",",  M(CLR)  ",2037	,30	,9	,21	
"Trincão<span class=""ui-icon country flg-pt""></span>","Wolverhampton, ",",  AM(CR)  ",1340	,22	,6	,16	
"Kortney Hause<span class=""ui-icon country flg-gb-eng""></span>","Aston Villa, ",",  D(CL)  ",397	,28	,20	,8	
"Willy Boly<span class=""ui-icon country flg-ci""></span>","Wolverhampton, ",",  D(C)  ",900	,40	,20	,20	
"Francisco Sierralta<span class=""ui-icon country flg-cl""></span>","Watford, ",",  D(C)  ",428	,16	,15	,1	
"Rodrigo<span class=""ui-icon country flg-es""></span>","Leeds, ",",  M(CLR),FW  ",2275	,65	,17	,48	
"Oliver Skipp<span class=""ui-icon country flg-gb-eng""></span>","Tottenham, ",",  DMC  ",1349	,23	,13	,10	
"Jonjo Shelvey<span class=""ui-icon country flg-gb-eng""></span>","Newcastle, ",",  M(C)  ",1986	,20	,10	,10	
"Vladimir Coufal<span class=""ui-icon country flg-cz""></span>","West Ham, ",",  D(R),M(R)  ",2211	,68	,33	,35	
"Harvey Elliott<span class=""ui-icon country flg-gb-eng""></span>","Liverpool, ",",  AM(CR)  ",346	,4	,2	,2	
"Kalvin Phillips<span class=""ui-icon country flg-gb-eng""></span>","Leeds, ",",  D(C),DMC  ",1596	,46	,17	,29	
"Angus Gunn<span class=""ui-icon country flg-gb-eng""></span>","Norwich, ",",  GK  ",810	,3	,2	,1	
"Alex Oxlade Chamberlain<span class=""ui-icon country flg-gb-eng""></span>","Liverpool, ",",  M(CLR)  ",787	,17	,5	,12	
"Joe Gomez<span class=""ui-icon country flg-gb-eng""></span>","Liverpool, ",",  D(CLR)  ",331	,16	,10	,6	
"Alphonse Areola<span class=""ui-icon country flg-fr""></span>","West Ham, ",",  GK  ",90	,-	,-	,-	
"Anthony Elanga<span class=""ui-icon country flg-se""></span>","Manchester United, ",",  AM(LR)  ",1217	,42	,24	,18	
"Mathias Normann<span class=""ui-icon country flg-no""></span>","Norwich, ",",  M(C)  ",1653	,42	,27	,15	
"Nathaniel Clyne<span class=""ui-icon country flg-gb-eng""></span>","Crystal Palace, ",",  D(LR),M(R)  ",1351	,17	,10	,7	
"Chiquinho<span class=""ui-icon country flg-pt""></span>","Wolverhampton, ",",  AM(R)  ",204	,9	,4	,5	
"Charlie Goode<span class=""ui-icon country flg-gb-eng""></span>","Brentford, ",",  D(C)  ",448	,23	,15	,8	
"Marc Albrighton<span class=""ui-icon country flg-gb-eng""></span>","Leicester, ",",  D(R),M(LR)  ",1128	,17	,4	,13	
"Yan Valery<span class=""ui-icon country flg-fr""></span>","Southampton, ",",  D(CR),M(R)  ",369	,20	,11	,9	
"Imrân Louza<span class=""ui-icon country flg-ma""></span>","Watford, ",",  M(CLR)  ",1423	,31	,12	,19	
"Brandon Williams<span class=""ui-icon country flg-gb-eng""></span>","Norwich, ",",  D(L),M(L)  ",2123	,31	,14	,17	
"Rico Henry<span class=""ui-icon country flg-gb-eng""></span>","Brentford, ",",  D(L),M(L)  ",2784	,67	,27	,40	
"Tariq Lamptey<span class=""ui-icon country flg-gb-eng""></span>","Brighton, ",",  D(R),M(R)  ",1558	,34	,7	,27	
"Dele Alli<span class=""ui-icon country flg-gb-eng""></span>","Tottenham, ",",  M(CL),FW  ",658	,18	,7	,11	
"Timo Werner<span class=""ui-icon country flg-de""></span>","Chelsea, ",",  AM(CLR),FW  ",1286	,22	,6	,16	
"Mason Holgate<span class=""ui-icon country flg-gb-eng""></span>","Everton, ",",  D(CR),DMC,M(R)  ",2134	,94	,63	,31	
"Eberechi Eze<span class=""ui-icon country flg-ng""></span>","Crystal Palace, ",",  AM(CLR)  ",603	,20	,7	,13	
"Samir<span class=""ui-icon country flg-br""></span>","Watford, ",",  D(CL)  ",1676	,82	,48	,34	
"Hwang Hee-Chan<span class=""ui-icon country flg-kr""></span>","Wolverhampton, ",",  AM(CLR),FW  ",1822	,29	,8	,21	
"Daniel James<span class=""ui-icon country flg-gb-wls""></span>","Manchester United, ",",  AM(LR),FW  ",128	,2	,1	,1	
"Will Hughes<span class=""ui-icon country flg-gb-eng""></span>","Crystal Palace, ",",  M(CLR)  ",1058	,31	,11	,20	
"Andrew Omobamidele<span class=""ui-icon country flg-""></span>","Norwich, ",",  D(C)  ",381	,15	,5	,10	
"Cédric Soares<span class=""ui-icon country flg-pt""></span>","Arsenal, ",",  D(LR),M(R)  ",1487	,39	,12	,27	
"Yoane Wissa<span class=""ui-icon country flg-cd""></span>","Brentford, ",",  AM(L),FW  ",1275	,51	,20	,31	
"Kelechi Iheanacho<span class=""ui-icon country flg-ng""></span>","Leicester, ",",  AM(C),FW  ",1263	,54	,16	,38	
"Japhet Tanganga<span class=""ui-icon country flg-gb-eng""></span>","Tottenham, ",",  D(CR)  ",740	,24	,15	,9	
"Paul Dummett<span class=""ui-icon country flg-gb-wls""></span>","Newcastle, ",",  D(CL)  ",194	,7	,5	,2	
"Cucho Hernández<span class=""ui-icon country flg-""></span>","Watford, ",",  AM(LR),FW  ",1143	,84	,33	,51	
"Stuart Armstrong<span class=""ui-icon country flg-gb-sct""></span>","Southampton, ",",  AM(CLR)  ",1470	,15	,4	,11	
"Ben Godfrey<span class=""ui-icon country flg-gb-eng""></span>","Everton, ",",  D(CLR)  ",2031	,81	,37	,44	
"Albert Sambi Lokonga<span class=""ui-icon country flg-be""></span>","Arsenal, ",",  DMC  ",1133	,36	,16	,20	
"Adam Lallana<span class=""ui-icon country flg-gb-eng""></span>","Brighton, ",",  M(CLR)  ",1561	,23	,15	,8	
"Jamaal Lascelles<span class=""ui-icon country flg-gb-eng""></span>","Newcastle, ",",  D(C)  ",2055	,120	,89	,31	
"Allan<span class=""ui-icon country flg-br""></span>","Everton, ",",  DMC  ",2188	,26	,11	,15	
"Jack Stephens<span class=""ui-icon country flg-gb-eng""></span>","Southampton, ",",  D(CR)  ",811	,25	,13	,12	
"Victor Lindelöf<span class=""ui-icon country flg-se""></span>","Manchester United, ",",  D(CR)  ",2355	,85	,52	,33	
"Daniel Bachmann<span class=""ui-icon country flg-at""></span>","Watford, ",",  GK  ",1080	,2	,2	,-	
"Junior Firpo<span class=""ui-icon country flg-es""></span>","Leeds, ",",  D(L),M(L)  ",1716	,46	,27	,19	
"Liam Delap<span class=""ui-icon country flg-gb-eng""></span>","Manchester City, ",",  Forward  ",9	,-	,-	,-	
"Saúl Ñíguez<span class=""ui-icon country flg-es""></span>","Chelsea, ",",  D(CL),M(CLR)  ",480	,19	,8	,11	
"Sergi Canós<span class=""ui-icon country flg-es""></span>","Brentford, ",",  M(LR)  ",2094	,36	,9	,27	
"Neal Maupay<span class=""ui-icon country flg-fr""></span>","Brighton, ",",  AM(C),FW  ",2276	,78	,21	,57	
"Luke Ayling<span class=""ui-icon country flg-gb-eng""></span>","Leeds, ",",  D(CR),M(R)  ",2275	,85	,35	,50	
"Rob Holding<span class=""ui-icon country flg-gb-eng""></span>","Arsenal, ",",  D(CR)  ",840	,51	,29	,22	
"Pierre Lees-Melou<span class=""ui-icon country flg-fr""></span>","Norwich, ",",  M(CLR)  ",2273	,29	,14	,15	
"Edo Kayembe<span class=""ui-icon country flg-cd""></span>","Watford, ",",  DMC  ",801	,32	,13	,19	
"Patrick Bamford<span class=""ui-icon country flg-gb-eng""></span>","Leeds, ",",  AM(CLR),FW  ",560	,19	,5	,14	
"Javier Manquillo<span class=""ui-icon country flg-es""></span>","Newcastle, ",",  D(LR),M(R)  ",1267	,29	,16	,13	
"Nicolas Nkoulou<span class=""ui-icon country flg-cm""></span>","Watford, ",",  D(C)  ",168	,2	,2	,-	
"Teemu Pukki<span class=""ui-icon country flg-fi""></span>","Norwich, ",",  AM(C),FW  ",3261	,89	,15	,74	
"Zanka<span class=""ui-icon country flg-dk""></span>","Brentford, ",",  D(C)  ",517	,19	,10	,9	
"Donny van de Beek<span class=""ui-icon country flg-nl""></span>","Everton, ",",  M(C)  ",484	,12	,7	,5	
"Tim Iroegbunam<span class=""ui-icon country flg-""></span>","Aston Villa, ",",  Midfielder  ",91	,3	,3	,-	
"Sam Byram<span class=""ui-icon country flg-gb-eng""></span>","Norwich, ",",  D(CLR),M(R)  ",1024	,57	,28	,29	
"Mohamed Elneny<span class=""ui-icon country flg-eg""></span>","Arsenal, ",",  DMC  ",802	,12	,6	,6	
"Daniel Amartey<span class=""ui-icon country flg-gh""></span>","Leicester, ",",  D(CR),DMC  ",2120	,70	,33	,37	
"Finley Stevens<span class=""ui-icon country flg-""></span>","Brentford, ",",  Defender  ",14	,1	,1	,-	
"Álvaro Fernández<span class=""ui-icon country flg-es""></span>","Brentford, ",",  GK  ",1080	,4	,2	,2	
"Ryan Fraser<span class=""ui-icon country flg-gb-sct""></span>","Newcastle, ",",  M(CLR),FW  ",1471	,27	,5	,22	
"Tanguy Ndombele<span class=""ui-icon country flg-fr""></span>","Tottenham, ",",  M(C)  ",486	,3	,2	,1	
"Saman Ghoddos<span class=""ui-icon country flg-ir""></span>","Brentford, ",",  AM(CLR),FW  ",528	,26	,11	,15	
"Issa Diop<span class=""ui-icon country flg-fr""></span>","West Ham, ",",  D(C)  ",962	,33	,16	,17	
"Jeremy Ngakia<span class=""ui-icon country flg-gb-eng""></span>","Watford, ",",  D(R)  ",900	,34	,16	,18	
"Patson Daka<span class=""ui-icon country flg-zm""></span>","Leicester, ",",  FW  ",1163	,61	,17	,44	
"Jamie Shackleton<span class=""ui-icon country flg-gb-eng""></span>","Leeds, ",",  D(R),DMC  ",709	,21	,6	,15	
"Marvelous Nakamba<span class=""ui-icon country flg-zw""></span>","Aston Villa, ",",  DMC  ",905	,23	,9	,14	
"Dan Gosling<span class=""ui-icon country flg-gb-eng""></span>","Watford, ",",  M(C)  ",165	,9	,5	,4	
"Jack Butland<span class=""ui-icon country flg-gb-eng""></span>","Crystal Palace, ",",  GK  ",765	,3	,1	,2	
"Jakub Moder<span class=""ui-icon country flg-pl""></span>","Brighton, ",",  M(CL)  ",1702	,62	,25	,37	
"Kiko Femenía<span class=""ui-icon country flg-es""></span>","Watford, ",",  D(LR),M(R)  ",2150	,26	,12	,14	
"Pedro Neto<span class=""ui-icon country flg-pt""></span>","Wolverhampton, ",",  AM(CLR),FW  ",466	,9	,3	,6	
"Jannik Vestergaard<span class=""ui-icon country flg-dk""></span>","Leicester, ",",  D(C)  ",564	,23	,13	,10	
"Kenny McLean<span class=""ui-icon country flg-gb-sct""></span>","Norwich, ",",  M(C)  ",2707	,140	,68	,72	
"Miguel Almirón<span class=""ui-icon country flg-py""></span>","Newcastle, ",",  AM(CLR),FW  ",1721	,19	,5	,14	
"Leander Dendoncker<span class=""ui-icon country flg-be""></span>","Wolverhampton, ",",  D(C),M(C)  ",1948	,63	,30	,33	
"Danny Rose<span class=""ui-icon country flg-gb-eng""></span>","Watford, ",",  D(L),M(L)  ",689	,12	,4	,8	
"Jay Rodriguez<span class=""ui-icon country flg-gb-eng""></span>","Burnley, ",",  AM(CLR),FW  ",1375	,123	,55	,68	
"Daniel James<span class=""ui-icon country flg-gb-wls""></span>","Leeds, ",",  AM(LR),FW  ",2368	,67	,13	,54	
"Luka Milivojevic<span class=""ui-icon country flg-rs""></span>","Crystal Palace, ",",  DMC  ",776	,19	,13	,6	
"Jóhann Gudmundsson<span class=""ui-icon country flg-is""></span>","Burnley, ",",  AM(CLR)  ",1105	,35	,15	,20	
"Nicolas Pépé<span class=""ui-icon country flg-ci""></span>","Arsenal, ",",  AM(LR),FW  ",682	,49	,18	,31	
"Isaac Hayden<span class=""ui-icon country flg-gb-eng""></span>","Newcastle, ",",  D(C),DMC  ",1003	,34	,19	,15	
"Wayne Hennessey<span class=""ui-icon country flg-gb-wls""></span>","Burnley, ",",  GK  ",180	,2	,2	,-	
"Max Aarons<span class=""ui-icon country flg-gb-eng""></span>","Norwich, ",",  D(R)  ",2882	,64	,14	,50	
"Ezri Konsa<span class=""ui-icon country flg-gb-eng""></span>","Aston Villa, ",",  D(CR)  ",2482	,100	,58	,42	
"Ashley Young<span class=""ui-icon country flg-gb-eng""></span>","Aston Villa, ",",  D(LR),M(LR)  ",1241	,22	,7	,15	
"Cole Palmer<span class=""ui-icon country flg-""></span>","Manchester City, ",",  Midfielder  ",122	,2	,2	,-	
"Harry Winks<span class=""ui-icon country flg-gb-eng""></span>","Tottenham, ",",  DMC  ",908	,8	,4	,4	
"Phil Jones<span class=""ui-icon country flg-gb-eng""></span>","Manchester United, ",",  D(CR),DMC  ",163	,2	,2	,-	
"James Tomkins<span class=""ui-icon country flg-gb-eng""></span>","Crystal Palace, ",",  D(CR)  ",546	,15	,10	,5	
"Boubakary Soumaré<span class=""ui-icon country flg-fr""></span>","Leicester, ",",  DMC  ",1102	,38	,27	,11	
"Ashley Westwood<span class=""ui-icon country flg-gb-eng""></span>","Burnley, ",",  DMC  ",2290	,22	,9	,13	
"Steven Alzate<span class=""ui-icon country flg-co""></span>","Brighton, ",",  DMC,M(L)  ",407	,12	,4	,8	
"Nuno Tavares<span class=""ui-icon country flg-pt""></span>","Arsenal, ",",  D(L)  ",1171	,46	,24	,22	
"Tim Krul<span class=""ui-icon country flg-nl""></span>","Norwich, ",",  GK  ",2610	,10	,7	,3	
"Mathias Jensen<span class=""ui-icon country flg-dk""></span>","Brentford, ",",  M(C)  ",1602	,23	,7	,16	
"Milot Rashica<span class=""ui-icon country flg-xk""></span>","Norwich, ",",  AM(CLR),FW  ",2240	,40	,12	,28	
"Bernd Leno<span class=""ui-icon country flg-de""></span>","Arsenal, ",",  GK  ",360	,4	,3	,1	
"Romain Perraud<span class=""ui-icon country flg-fr""></span>","Southampton, ",",  D(L),M(L)  ",1625	,40	,16	,24	
"John Ruddy<span class=""ui-icon country flg-gb-eng""></span>","Wolverhampton, ",",  GK  ",135	,1	,1	,-	
"Edinson Cavani<span class=""ui-icon country flg-uy""></span>","Manchester United, ",",  AM(LR),FW  ",765	,24	,7	,17	
"Matt Ritchie<span class=""ui-icon country flg-gb-sct""></span>","Newcastle, ",",  D(L),M(CLR)  ",1335	,31	,14	,17	
"Leon Bailey<span class=""ui-icon country flg-jm""></span>","Aston Villa, ",",  M(LR),FW  ",757	,27	,10	,17	
"Sean Longstaff<span class=""ui-icon country flg-gb-eng""></span>","Newcastle, ",",  DMC  ",1461	,31	,13	,18	
"Billy Gilmour<span class=""ui-icon country flg-gb-sct""></span>","Norwich, ",",  DMC  ",1858	,33	,13	,20	
"Jacob Murphy<span class=""ui-icon country flg-gb-eng""></span>","Newcastle, ",",  D(R),M(LR)  ",1455	,47	,14	,33	
"Adam Armstrong<span class=""ui-icon country flg-gb-eng""></span>","Southampton, ",",  AM(CLR),FW  ",1415	,36	,13	,23	
"Ibrahima Diallo<span class=""ui-icon country flg-""></span>","Southampton, ",",  DMC  ",1019	,23	,11	,12	
"CJ Egan-Riley<span class=""ui-icon country flg-""></span>","Manchester City, ",",  Defender  ",3	,-	,-	,-	
"Tariqe Fosu-Henry<span class=""ui-icon country flg-gb-eng""></span>","Brentford, ",",  M(CLR)  ",16	,1	,-	,1	
"Jack Cork<span class=""ui-icon country flg-gb-eng""></span>","Burnley, ",",  DMC  ",1676	,47	,26	,21	
"Takumi Minamino<span class=""ui-icon country flg-jp""></span>","Liverpool, ",",  AM(CLR),FW  ",179	,6	,1	,5	
"Mateusz Klich<span class=""ui-icon country flg-pl""></span>","Leeds, ",",  M(C)  ",2095	,20	,7	,13	
"Christian Kabasele<span class=""ui-icon country flg-be""></span>","Watford, ",",  D(C)  ",1191	,59	,47	,12	
"Craig Cathcart<span class=""ui-icon country flg-gb-nir""></span>","Watford, ",",  D(CR)  ",2396	,82	,48	,34	
"Lyanco<span class=""ui-icon country flg-br""></span>","Southampton, ",",  D(C)  ",906	,33	,19	,14	
"Federico Fernández<span class=""ui-icon country flg-ar""></span>","Newcastle, ",",  D(C)  ",522	,15	,10	,5	
"Frank Onyeka<span class=""ui-icon country flg-ng""></span>","Brentford, ",",  DMC  ",1051	,37	,16	,21	
"Ozan Kabak<span class=""ui-icon country flg-tr""></span>","Norwich, ",",  D(C)  ",925	,50	,22	,28	
"Pascal Struijk<span class=""ui-icon country flg-nl""></span>","Leeds, ",",  D(C),DMC  ",2053	,79	,40	,39	
"Robin Koch<span class=""ui-icon country flg-de""></span>","Leeds, ",",  D(C),DMC  ",1575	,90	,45	,45	
"Adam Idah<span class=""ui-icon country flg-ie""></span>","Norwich, ",",  FW  ",620	,43	,16	,27	
"Ayoze Pérez<span class=""ui-icon country flg-es""></span>","Leicester, ",",  AM(CLR),FW  ",444	,19	,6	,13	
"Ben Gibson<span class=""ui-icon country flg-gb-eng""></span>","Norwich, ",",  D(CL)  ",2495	,92	,53	,39	
"Marcus Rashford<span class=""ui-icon country flg-gb-eng""></span>","Manchester United, ",",  AM(CLR),FW  ",1233	,37	,10	,27	
"Ainsley Maitland-Niles<span class=""ui-icon country flg-gb-eng""></span>","Arsenal, ",",  D(LR),M(CLR)  ",265	,6	,3	,3	
"Shane Long<span class=""ui-icon country flg-ie""></span>","Southampton, ",",  AM(R),FW  ",303	,43	,24	,19	
"Morgan Sanson<span class=""ui-icon country flg-fr""></span>","Aston Villa, ",",  M(CLR)  ",352	,9	,3	,6	
"Jeff Hendrick<span class=""ui-icon country flg-ie""></span>","Newcastle, ",",  M(CR)  ",70	,2	,1	,1	
"Jacob Sørensen<span class=""ui-icon country flg-""></span>","Norwich, ",",  D(L),DMC  ",601	,20	,11	,9	
"Sam Greenwood<span class=""ui-icon country flg-gb-eng""></span>","Leeds, ",",  Forward  ",232	,5	,2	,3	
"Luke Cundle<span class=""ui-icon country flg-gb-eng""></span>","Wolverhampton, ",",  Midfielder  ",180	,2	,-	,2	
"Adam Forshaw<span class=""ui-icon country flg-gb-eng""></span>","Leeds, ",",  M(C)  ",1530	,22	,11	,11	
"Jamal Lewis<span class=""ui-icon country flg-gb-nir""></span>","Newcastle, ",",  D(L),M(L)  ",263	,5	,1	,4	
"Matej Vydra<span class=""ui-icon country flg-cz""></span>","Burnley, ",",  AM(CL),FW  ",668	,68	,18	,50	
"Anwar El Ghazi<span class=""ui-icon country flg-nl""></span>","Aston Villa, ",",  AM(LR),FW  ",383	,21	,10	,11	
"Tyler Roberts<span class=""ui-icon country flg-gb-wls""></span>","Leeds, ",",  AM(C),FW  ",979	,32	,9	,23	
"Shandon Baptiste<span class=""ui-icon country flg-gd""></span>","Brentford, ",",  M(C)  ",905	,25	,7	,18	
"Joshua Sargent<span class=""ui-icon country flg-us""></span>","Norwich, ",",  AM(CR),FW  ",1579	,88	,40	,48	
"Nampalys Mendy<span class=""ui-icon country flg-sn""></span>","Leicester, ",",  M(C)  ",1035	,14	,5	,9	
"Juan Mata<span class=""ui-icon country flg-es""></span>","Manchester United, ",",  AM(CLR)  ",232	,-	,-	,-	
"Peter Etebo<span class=""ui-icon country flg-ng""></span>","Watford, ",",  M(CL),FW  ",398	,4	,3	,1	
"Anthony Martial<span class=""ui-icon country flg-fr""></span>","Manchester United, ",",  AM(LR),FW  ",210	,8	,4	,4	
"Tom Cleverley<span class=""ui-icon country flg-gb-eng""></span>","Watford, ",",  M(CLR)  ",1626	,44	,14	,30	
"Ki-Jana Hoever<span class=""ui-icon country flg-nl""></span>","Wolverhampton, ",",  M(R)  ",307	,6	,3	,3	
"Donny van de Beek<span class=""ui-icon country flg-nl""></span>","Manchester United, ",",  M(C)  ",69	,3	,1	,2	
"Giovani Lo Celso<span class=""ui-icon country flg-ar""></span>","Tottenham, ",",  M(CR),FW  ",233	,3	,-	,3	
"Ken Sema<span class=""ui-icon country flg-se""></span>","Watford, ",",  M(CLR)  ",846	,35	,12	,23	
"Bertrand Traoré<span class=""ui-icon country flg-bf""></span>","Aston Villa, ",",  AM(R),FW  ",213	,8	,4	,4	
"Joe Gelhardt<span class=""ui-icon country flg-gb-eng""></span>","Leeds, ",",  FW  ",738	,32	,11	,21	
"Aaron Lennon<span class=""ui-icon country flg-gb-eng""></span>","Burnley, ",",  M(LR)  ",1548	,28	,7	,21	
"Eric Bailly<span class=""ui-icon country flg-ci""></span>","Manchester United, ",",  D(CR)  ",218	,8	,6	,2	
"Jonjoe Kenny<span class=""ui-icon country flg-gb-eng""></span>","Everton, ",",  D(LR),M(R)  ",1017	,20	,9	,11	
"Ben Foster<span class=""ui-icon country flg-gb-eng""></span>","Watford, ",",  GK  ",2340	,9	,6	,3	
"Mads Bech Sørensen<span class=""ui-icon country flg-dk""></span>","Brentford, ",",  D(CL)  ",834	,13	,9	,4	
"Mads Roerslev<span class=""ui-icon country flg-dk""></span>","Brentford, ",",  D(R),M(R)  ",1235	,37	,12	,25	
