season,link
2020/2021,/Regions/81/Tournaments/3/Seasons/8279/Germany-Bundesliga
2019/2020,/Regions/81/Tournaments/3/Seasons/7872/Germany-Bundesliga
2018/2019,/Regions/81/Tournaments/3/Seasons/7405/Germany-Bundesliga
2017/2018,/Regions/81/Tournaments/3/Seasons/6902/Germany-Bundesliga
2016/2017,/Regions/81/Tournaments/3/Seasons/6392/Germany-Bundesliga
2015/2016,/Regions/81/Tournaments/3/Seasons/5870/Germany-Bundesliga
2014/2015,/Regions/81/Tournaments/3/Seasons/4336/Germany-Bundesliga
2013/2014,/Regions/81/Tournaments/3/Seasons/3863/Germany-Bundesliga
2012/2013,/Regions/81/Tournaments/3/Seasons/3424/Germany-Bundesliga
2011/2012,/Regions/81/Tournaments/3/Seasons/2949/Germany-Bundesliga
2010/2011,/Regions/81/Tournaments/3/Seasons/2520/Germany-Bundesliga
2009/2010,/Regions/81/Tournaments/3/Seasons/1903/Germany-Bundesliga
2008/2009,/Regions/81/Tournaments/3/Seasons/1535/Germany-Bundesliga
2007/2008,/Regions/81/Tournaments/3/Seasons/1253/Germany-Bundesliga
2006/2007,/Regions/81/Tournaments/3/Seasons/673/Germany-Bundesliga
2005/2006,/Regions/81/Tournaments/3/Seasons/812/Germany-Bundesliga
2004/2005,/Regions/81/Tournaments/3/Seasons/564/Germany-Bundesliga
2003/2004,/Regions/81/Tournaments/3/Seasons/395/Germany-Bundesliga
2002/2003,/Regions/81/Tournaments/3/Seasons/284/Germany-Bundesliga
2001/2002,/Regions/81/Tournaments/3/Seasons/162/Germany-Bundesliga
2000/2001,/Regions/81/Tournaments/3/Seasons/76/Germany-Bundesliga
1999/2000,/Regions/81/Tournaments/3/Seasons/3/Germany-Bundesliga
