Category: All categories

Time,super league: (Worldwide),chelsea: (Worldwide),José Mourinho: (Worldwide),Florentino Pérez: (Worldwide),UEFA Champions League: (Worldwide)
2021-04-14T01,<1,3,<1,<1,10
2021-04-14T02,<1,3,<1,<1,8
2021-04-14T03,<1,2,<1,<1,7
2021-04-14T04,<1,2,<1,<1,6
2021-04-14T05,<1,2,<1,<1,6
2021-04-14T06,<1,2,<1,<1,6
2021-04-14T07,<1,1,<1,<1,6
2021-04-14T08,<1,1,<1,<1,6
2021-04-14T09,<1,1,<1,<1,6
2021-04-14T10,<1,1,<1,<1,6
2021-04-14T11,<1,1,<1,<1,8
2021-04-14T12,<1,1,<1,<1,10
2021-04-14T13,<1,1,<1,<1,20
2021-04-14T14,<1,2,<1,<1,66
2021-04-14T15,<1,3,<1,<1,100
2021-04-14T16,<1,4,<1,<1,62
2021-04-14T17,<1,2,<1,<1,29
2021-04-14T18,<1,2,<1,<1,21
2021-04-14T19,<1,1,<1,<1,16
2021-04-14T20,<1,1,<1,<1,14
2021-04-14T21,<1,1,<1,<1,13
2021-04-14T22,<1,1,<1,<1,15
2021-04-14T23,<1,1,<1,<1,16
2021-04-15T00,<1,1,<1,<1,14
2021-04-15T01,<1,1,<1,<1,11
2021-04-15T02,<1,1,<1,<1,8
2021-04-15T03,<1,1,<1,<1,7
2021-04-15T04,<1,1,<1,<1,6
2021-04-15T05,<1,1,<1,<1,6
2021-04-15T06,<1,1,<1,<1,5
2021-04-15T07,<1,1,<1,<1,5
2021-04-15T08,<1,1,<1,<1,4
2021-04-15T09,<1,1,<1,<1,4
2021-04-15T10,<1,1,<1,<1,4
2021-04-15T11,<1,1,<1,<1,4
2021-04-15T12,<1,1,<1,<1,4
2021-04-15T13,<1,1,<1,<1,5
2021-04-15T14,<1,2,<1,<1,6
2021-04-15T15,<1,2,<1,<1,6
2021-04-15T16,<1,2,<1,<1,5
2021-04-15T17,<1,1,<1,<1,4
2021-04-15T18,<1,1,<1,<1,3
2021-04-15T19,<1,1,<1,<1,3
2021-04-15T20,<1,1,<1,<1,3
2021-04-15T21,<1,1,<1,<1,3
2021-04-15T22,<1,1,<1,<1,3
2021-04-15T23,<1,1,<1,<1,3
2021-04-16T00,<1,1,<1,<1,3
2021-04-16T01,<1,1,<1,<1,2
2021-04-16T02,<1,1,<1,<1,2
2021-04-16T03,<1,1,<1,<1,2
2021-04-16T04,<1,1,<1,<1,2
2021-04-16T05,<1,1,<1,<1,2
2021-04-16T06,<1,1,<1,<1,2
2021-04-16T07,<1,1,<1,<1,2
2021-04-16T08,<1,1,<1,<1,2
2021-04-16T09,<1,1,<1,<1,2
2021-04-16T10,<1,1,<1,<1,2
2021-04-16T11,<1,1,<1,<1,2
2021-04-16T12,<1,1,<1,<1,2
2021-04-16T13,<1,1,<1,<1,2
2021-04-16T14,<1,1,<1,<1,2
2021-04-16T15,<1,2,<1,<1,2
2021-04-16T16,<1,2,<1,<1,2
2021-04-16T17,<1,1,<1,<1,2
2021-04-16T18,<1,1,<1,<1,2
2021-04-16T19,<1,1,<1,<1,2
2021-04-16T20,<1,1,<1,<1,2
2021-04-16T21,<1,1,<1,<1,1
2021-04-16T22,<1,1,<1,<1,1
2021-04-16T23,<1,1,<1,<1,1
2021-04-17T00,<1,1,<1,<1,1
2021-04-17T01,<1,1,<1,<1,1
2021-04-17T02,<1,2,<1,<1,1
2021-04-17T03,<1,2,<1,<1,1
2021-04-17T04,<1,2,<1,<1,1
2021-04-17T05,<1,2,<1,<1,2
2021-04-17T06,<1,2,<1,<1,2
2021-04-17T07,<1,2,<1,<1,2
2021-04-17T08,<1,3,<1,<1,2
2021-04-17T09,<1,3,<1,<1,2
2021-04-17T10,<1,11,<1,<1,2
2021-04-17T11,<1,17,<1,<1,2
2021-04-17T12,<1,19,<1,<1,3
2021-04-17T13,<1,25,<1,<1,3
2021-04-17T14,<1,11,<1,<1,3
2021-04-17T15,<1,8,<1,<1,2
2021-04-17T16,<1,7,<1,<1,3
2021-04-17T17,<1,5,<1,<1,2
2021-04-17T18,<1,4,<1,<1,2
2021-04-17T19,<1,3,<1,<1,2
2021-04-17T20,<1,3,<1,<1,2
2021-04-17T21,<1,3,<1,<1,2
2021-04-17T22,<1,3,<1,<1,2
2021-04-17T23,<1,3,<1,<1,2
2021-04-18T00,<1,3,<1,<1,1
2021-04-18T01,<1,3,<1,<1,1
2021-04-18T02,<1,2,<1,<1,1
2021-04-18T03,<1,2,<1,<1,1
2021-04-18T04,<1,2,<1,<1,2
2021-04-18T05,<1,2,<1,<1,2
2021-04-18T06,<1,2,<1,<1,2
2021-04-18T07,<1,2,<1,<1,2
2021-04-18T08,<1,2,<1,<1,2
2021-04-18T09,1,2,<1,<1,2
2021-04-18T10,2,1,<1,<1,2
2021-04-18T11,3,2,<1,<1,2
2021-04-18T12,3,2,<1,<1,2
2021-04-18T13,3,1,<1,<1,2
2021-04-18T14,3,2,<1,<1,3
2021-04-18T15,4,2,<1,<1,3
2021-04-18T16,6,2,<1,<1,2
2021-04-18T17,9,2,<1,<1,3
2021-04-18T18,10,1,<1,<1,5
2021-04-18T19,7,1,<1,1,5
2021-04-18T20,5,1,<1,<1,4
2021-04-18T21,5,1,<1,<1,3
2021-04-18T22,5,1,<1,<1,3
2021-04-18T23,5,1,<1,<1,3
2021-04-19T00,5,1,<1,<1,3
2021-04-19T01,7,1,<1,<1,3
2021-04-19T02,6,1,<1,<1,3
2021-04-19T03,6,1,<1,<1,3
2021-04-19T04,6,1,10,<1,3
2021-04-19T05,7,1,7,<1,3
2021-04-19T06,6,1,4,<1,3
2021-04-19T07,6,1,3,<1,3
2021-04-19T08,5,1,2,<1,3
2021-04-19T09,5,1,2,<1,3
2021-04-19T10,5,1,2,<1,3
2021-04-19T11,5,1,2,<1,4
2021-04-19T12,5,1,2,<1,4
2021-04-19T13,6,1,2,<1,4
2021-04-19T14,6,2,2,<1,4
2021-04-19T15,7,2,2,<1,4
2021-04-19T16,6,2,1,1,4
2021-04-19T17,5,1,1,1,3
2021-04-19T18,4,1,1,1,3
2021-04-19T19,3,1,1,1,2
2021-04-19T20,2,1,1,<1,2
2021-04-19T21,2,1,1,<1,2
2021-04-19T22,2,1,1,<1,2
2021-04-19T23,3,1,1,<1,2
2021-04-20T00,3,1,1,<1,2
2021-04-20T01,4,1,1,1,2
