venue,league,team,n,n_team,max_attendance,url,lat,long,capacity,season
Dr. Mark & Cindy Lynn Soccer Stadium,USL Championship,Louisville City,2,2,7025,https://en.wikipedia.org/wiki/Dr._Mark_%26_Cindy_Lynn_Stadium,38.20870000000001,-85.75515,5300,
Elland Road,EFL Championship,Leeds United,154,116,37004,https://en.wikipedia.org/wiki/Elland_Road,53.77778,-1.57222,37792,
Emirates Stadium,Premier League,Arsenal,133,133,60383,https://en.wikipedia.org/wiki/Emirates_Stadium,51.55667,-0.10611000000000001,60260,
ESPN Wide World of Sports Complex,Major League Soccer,Philadelphia,51,5,,https://en.wikipedia.org/wiki/ESPN_Wide_World_of_Sports_Complex,28.337083000000003,-81.556,,
Etihad Stadium,Premier League,Manchester City,133,133,54693,https://en.wikipedia.org/wiki/City_of_Manchester_Stadium,53.483059999999995,-2.2002800000000002,53400,
Ewood Park,EFL Championship,Blackburn,139,138,30428,https://en.wikipedia.org/wiki/Ewood_Park,53.72861000000001,-2.48917,31367,
Exploria Stadium,Major League Soccer,Orlando City,93,88,25527,https://en.wikipedia.org/wiki/Exploria_Stadium,28.5411,-81.38929999999999,25500,
Fifth Third Bank Stadium,USL Championship,Atlanta 2,58,58,3109,https://en.wikipedia.org/wiki/Fifth_Third_Bank_Stadium,34.028967,-84.567626,8318,
First Tennessee Park,USL Championship,Nashville,32,32,9083,https://en.wikipedia.org/wiki/First_Horizon_Park,36.17278,-86.78472000000001,10000,
FIU Soccer Stadium,USL Championship,Miami FC,3,3,723,https://en.wikipedia.org/wiki/FIU_Panthers,,,,
FNB FIELD,USL Championship,Penn FC,17,17,4507,https://en.wikipedia.org/wiki/FNB_Field,40.256428,-76.88997699999999,6187,
Geodis Park,Major League Soccer,Nashville,6,6,30109,https://en.wikipedia.org/wiki/Geodis_Park,36.13028,-86.76556000000001,30000,
Gillette Stadium,Major League Soccer,New England,105,105,39587,https://en.wikipedia.org/wiki/Gillette_Stadium,42.091,-71.26400000000001,65878,
Goodison Park,Premier League,Everton,134,133,39641,https://en.wikipedia.org/wiki/Goodison_Park,53.43889,-2.96639,39414,
Goodman Stadium,USL Championship,Bethlehem,17,17,3342,https://en.wikipedia.org/wiki/Goodman_Stadium,40.352,-75.2119,16000,
Griffin Park,EFL Championship,Brentford,116,116,12367,https://en.wikipedia.org/wiki/Griffin_Park,51.4881833,-0.3026389,12300,
H-E-B Park,USL Championship,RGV Toros,75,75,7846,https://en.wikipedia.org/wiki/H-E-B_Park,26.2826,-98.1352,9735,
Highmark Stadium,USL Championship,Pittsburgh,79,78,10584,https://en.wikipedia.org/wiki/Highmark_Stadium_(New_York),42.774,-78.787,3500,2018
Highmark Stadium,USL Championship,Pittsburgh,79,78,10584,https://en.wikipedia.org/wiki/Highmark_Stadium_(New_York),42.774,-78.787,5000,2019
Hillsborough Stadium,EFL Championship,Sheffield Weds,140,140,34260,https://en.wikipedia.org/wiki/Hillsborough_Stadium,53.41139,-1.50056,39732,
iPro Stadium,EFL Championship,Derby County,165,164,33010,https://en.wikipedia.org/wiki/Pride_Park_Stadium,52.915,-1.4472199999999997,33597,
Isotopes Park,USL Championship,New Mexico Utd,51,50,15247,https://en.wikipedia.org/wiki/Isotopes_Park,35.069720000000004,-106.62916999999999,13500,
Kenilworth Road Stadium,EFL Championship,Luton Town,70,70,10073,https://en.wikipedia.org/wiki/Kenilworth_Road,51.88417,-0.43167000000000005,10356,
Keyworth Stadium,USL Championship,Detroit City,17,17,5483,https://en.wikipedia.org/wiki/Keyworth_Stadium,42.39222,-83.04889,7933,
King Power Stadium,Premier League,Leicester City,133,133,38092,https://en.wikipedia.org/wiki/King_Power_Stadium,52.62028,-1.14222,32261,
Kingston Communications Stadium,EFL Championship,Hull City,134,115,24822,https://en.wikipedia.org/wiki/MKM_Stadium,53.74611000000001,-0.36778,25400,
Lamport Stadium,USL Championship,Toronto FC II,1,1,107,,,,,
Laney College Field,USL Championship,Oakland Roots SC,28,28,5508,https://en.wikipedia.org/wiki/Laney_College_Football_Stadium,37.794500000000006,-122.25869999999999,5500,
Las Positas College Turf Field,USL Championship,Oakland Roots SC,5,5,813,https://en.wikipedia.org/wiki/2021_Oakland_Roots_SC_season,,,,
Liberty Stadium,EFL Championship,Swansea City,151,94,20972,https://en.wikipedia.org/wiki/Swansea.com_Stadium,51.6422,-3.9351,21088,
Lockhart Stadium,Major League Soccer,Inter Miami,39,35,18535,https://en.wikipedia.org/wiki/Lockhart_Stadium,26.193060000000003,-80.16111000000001,17417,
Loftus Road Stadium,EFL Championship,QPR,161,161,18031,https://en.wikipedia.org/wiki/Loftus_Road,51.509170000000005,-0.23222,18439,
London Stadium,Premier League,West Ham,114,114,60000,https://en.wikipedia.org/wiki/London_Stadium,51.3219,-0.059,60000,
Louisville Slugger Field,USL Championship,Louisville City,38,38,12188,https://en.wikipedia.org/wiki/Louisville_Slugger_Field,38.2561861,-85.74465280000001,13131,
Lower.com Field,Major League Soccer,Columbus Crew,20,20,20407,https://en.wikipedia.org/wiki/Lower.com_Field,39.9684611,-83.0170889,20371,
Lucas Oil Stadium,USL Championship,Indy Eleven,43,43,20251,https://en.wikipedia.org/wiki/Lucas_Oil_Stadium,39.760056000000006,-86.163806,67000,
Lynn Family Stadium,USL Championship,Louisville City,49,49,12115,https://en.wikipedia.org/wiki/Lynn_Family_Stadium,38.25944,-85.73194000000001,11700,
Macron Stadium,EFL Championship,Bolton,69,69,21097,https://en.wikipedia.org/wiki/University_of_Bolton_Stadium,53.58056,-2.53556,28723,
Madejski Stadium,EFL Championship,Reading,162,162,23121,https://en.wikipedia.org/wiki/Madejski_Stadium,51.42222,-0.98278,24161,
MAPFRE Stadium,Major League Soccer,Columbus Crew,89,89,21289,https://en.wikipedia.org/wiki/Historic_Crew_Stadium,40.00944,-82.99111000000002,22555,
Maureen Hendricks Field Maryland SoccerP...,Major League Soccer,D.C. United,1,1,5128,,,,,
Mercedes-Benz Stadium,Major League Soccer,Atlanta Utd,84,84,73019,https://en.wikipedia.org/wiki/Mercedes-Benz_Stadium,33.75556,-84.4,71000,
Merlo Field,USL Championship,Timbers 2,3,3,1822,https://en.wikipedia.org/wiki/Merlo_Field,45.3428,-122.4338,4892,
Michael A. Carroll Stadium,USL Championship,Indy Eleven,35,35,8037,https://en.wikipedia.org/wiki/IU_Michael_A._Carroll_Track_&_Soccer_Stadium,39.771146,-86.17787999999999,12111,
Molineux Stadium,Premier League,Wolves,145,76,32000,https://en.wikipedia.org/wiki/Molineux_Stadium,52.59028,-2.13028,32050,
MSU Soccer Park at Pittser Field,USL Championship,Red Bulls II,50,50,1522,https://en.wikipedia.org/wiki/MSU_Soccer_Park_at_Pittser_Field,40.860693999999995,-74.20055500000001,5000,
MUSC Health Stadium,USL Championship,Charleston,35,35,4659,https://en.wikipedia.org/wiki/MUSC_Health_Stadium,32.8702487,-79.919538,5100,
Navy–Marine Corps Memorial Stadium,Major League Soccer,D.C. United,1,1,12396,,,,,
New York Stadium,EFL Championship,Rotherham Utd,92,92,11736,https://en.wikipedia.org/wiki/New_York_Stadium,53.4279,-1.362,12021,
Nippert Stadium,Major League Soccer,FC Cincinnati,45,26,32250,https://en.wikipedia.org/wiki/Nippert_Stadium,39.1312,-84.51620000000001,37978,2018
Nippert Stadium,Major League Soccer,FC Cincinnati,45,26,32250,https://en.wikipedia.org/wiki/Nippert_Stadium,39.1312,-84.51620000000001,40000,2021
Nissan Stadium,Major League Soccer,Nashville,34,30,59069,https://en.wikipedia.org/wiki/Nissan_Stadium,36.16639000000001,-86.77139,67700,
Oakwell Stadium,EFL Championship,Barnsley,116,116,18597,https://en.wikipedia.org/wiki/Oakwell,53.55222,-1.4674999999999998,23287,
Old Trafford,Premier League,Manchester Utd,133,133,75415,https://en.wikipedia.org/wiki/Old_Trafford,53.2747,-2.1729,74140,
