,,,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Dribbles,Dribbles,
2020-10-17,Sat,Premier League,Matchweek 5,Home,D 3–3,Chelsea,Southampton,Y,LW,71,0,0,0,0,1,0,0,0,35,13,2,0,1,0.1,0.1,0.1,2,0,18,22,81.8,3,20,0,1,2,Match Report
2020-10-20,Tue,Champions Lg,Group stage,Home,D 0–0,eng Chelsea,es Sevilla,Y,LW,61,0,0,0,0,0,0,1,0,38,14,0,2,1,0.0,0.0,0.0,2,0,21,28,75.0,3,23,2,1,2,Match Report
2020-10-24,Sat,Premier League,Matchweek 6,Away,D 0–0,Chelsea,Manchester Utd,N,AM,19,0,0,0,0,0,0,0,0,15,9,1,2,0,0.0,0.0,0.0,0,0,7,11,63.6,2,8,0,1,1,Match Report
2020-10-28,Wed,Champions Lg,Group stage,Away,W 4–0,eng Chelsea,ru Krasnodar,N,AMDM,20,0,0,0,0,0,0,0,0,11,6,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,3,9,2,0,2,Match Report
2020-10-31,Sat,Premier League,Matchweek 7,Away,W 3–0,Chelsea,Burnley,Y,CM,90,0,1,0,0,3,2,0,0,98,24,4,2,1,0.1,0.1,0.1,3,1,75,81,92.6,9,78,4,1,1,Match Report
2020-11-04,Wed,Champions Lg,Group stage,Home,W 3–0,eng Chelsea,fr Rennes,Y,CM,90,0,0,0,0,0,0,0,0,80,26,4,0,3,0.0,0.0,0.0,1,0,65,72,90.3,6,62,3,1,1,Match Report
2020-11-07,Sat,Premier League,Matchweek 8,Home,W 4–1,Chelsea,Sheffield Utd,Y,CM,90,0,0,0,0,3,1,0,0,102,19,3,2,3,0.1,0.1,0.0,2,1,73,82,89.0,4,59,6,0,0,Match Report
2020-11-12,Thu,Friendlies (M),Friendlies (M),Home,W 3–0,eng England,ie Republic of Ireland,Y,CM,72,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2020-11-15,Sun,UEFA Nations League,League A,Away,L 0–2,eng England,be Belgium,Y,AM,68,0,0,0,0,3,0,0,0,,,,1,,,,,,,,,,,,,,,Match Report
2020-11-18,Wed,UEFA Nations League,League A,Home,W 4–0,eng England,is Iceland,Y,CM,63,1,0,0,0,2,1,0,0,,,,2,,,,,,,,,,,,,,,Match Report
2020-11-21,Sat,Premier League,Matchweek 9,Away,W 2–0,Chelsea,Newcastle Utd,Y,CM,90,0,0,0,0,2,0,0,0,86,10,1,0,0,0.3,0.3,0.1,5,0,71,79,89.9,8,64,9,1,1,Match Report
2020-11-24,Tue,Champions Lg,Group stage,Away,W 2–1,eng Chelsea,fr Rennes,Y,CM,67,0,1,0,0,1,1,0,0,45,15,1,0,2,0.4,0.4,0.4,5,2,33,39,84.6,1,31,3,2,2,Match Report
2020-11-29,Sun,Premier League,Matchweek 10,Home,D 0–0,Chelsea,Tottenham,Y,CM,90,0,0,0,0,2,1,1,0,75,17,1,1,0,0.1,0.1,0.1,3,0,62,71,87.3,8,62,10,3,3,Match Report
2020-12-02,Wed,Champions Lg,Group stage,Away,W 4–0,eng Chelsea,es Sevilla,N,CMLW,24,0,0,0,0,1,1,1,0,13,8,2,0,1,0.2,0.2,0.0,0,0,6,7,85.7,0,8,3,0,0,Match Report
2020-12-05,Sat,Premier League,Matchweek 11,Home,W 3–1,Chelsea,Leeds United,Y,CM,90,0,1,0,0,2,1,0,0,57,19,3,2,1,0.1,0.1,0.7,10,2,34,47,72.3,3,35,6,1,3,Match Report
2020-12-12,Sat,Premier League,Matchweek 12,Away,L 0–1,Chelsea,Everton,Y,CM,90,0,0,0,0,2,0,0,0,70,13,1,2,1,0.1,0.1,0.0,1,0,46,61,75.4,4,45,6,1,1,Match Report
2020-12-15,Tue,Premier League,Matchweek 13,Away,L 1–2,Chelsea,Wolves,Y,CM,90,0,0,0,0,0,0,1,0,48,23,3,1,0,0.0,0.0,0.1,1,0,35,41,85.4,5,35,7,1,2,Match Report
2020-12-21,Mon,Premier League,Matchweek 14,Home,W 3–0,Chelsea,West Ham,Y,CM,90,0,1,0,0,1,1,0,0,57,17,3,1,1,0.0,0.0,0.6,4,1,39,47,83.0,4,37,10,1,1,Match Report
2020-12-26,Sat,Premier League,Matchweek 15,Away,L 1–3,Chelsea,Arsenal,Y,CMAM,90,0,0,0,0,3,0,0,0,73,28,0,0,2,0.2,0.2,0.2,7,0,48,61,78.7,5,46,7,2,3,Match Report
2020-12-28,Mon,Premier League,Matchweek 16,Home,D 1–1,Chelsea,Aston Villa,Y,CM,90,0,0,0,0,2,0,0,0,83,14,2,1,1,0.1,0.1,0.1,5,0,58,71,81.7,8,62,11,2,4,Match Report
2021-01-03,Sun,Premier League,Matchweek 17,Home,L 1–3,Chelsea,Manchester City,Y,CM,90,0,0,0,0,0,0,0,0,73,19,1,0,1,0.0,0.0,0.2,3,0,59,71,83.1,4,54,12,1,1,Match Report
2021-01-10,Sun,FA Cup,Third round,Home,W 4–0,Chelsea,Morecambe,Y,CM,73,1,0,0,0,2,1,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2021-01-16,Sat,Premier League,Matchweek 19,Away,W 1–0,Chelsea,Fulham,Y,CM,90,1,0,0,0,4,1,0,0,92,25,2,3,0,0.4,0.4,0.2,12,0,66,75,88.0,9,62,8,4,5,Match Report
2021-01-19,Tue,Premier League,Matchweek 18,Away,L 0–2,Chelsea,Leicester City,Y,CM,90,0,0,0,0,1,0,0,0,81,24,7,4,4,0.1,0.1,0.4,5,0,61,65,93.8,7,46,2,1,2,Match Report
2021-01-24,Sun,FA Cup,Fourth round,Home,W 3–1,Chelsea,Luton Town,Y*,DM,83,0,0,0,0,3,0,0,0,,,,1,,,,,,,,,,,,,,,Match Report
2021-01-27,Wed,Premier League,Matchweek 20,Home,D 0–0,Chelsea,Wolves,N,CM,9,0,0,0,0,0,0,0,0,14,2,0,0,0,0.0,0.0,0.0,2,0,8,14,57.1,1,9,3,1,1,Match Report
2021-01-31,Sun,Premier League,Matchweek 21,Home,W 2–0,Chelsea,Burnley,Y,RW,79,0,0,0,0,4,0,0,0,67,26,4,1,1,0.2,0.2,0.2,6,1,46,55,83.6,13,53,14,3,3,Match Report
2021-02-04,Thu,Premier League,Matchweek 22,Away,W 1–0,Chelsea,Tottenham,Y,LW,90,0,0,0,0,3,1,0,0,70,24,1,2,0,0.4,0.4,0.5,5,0,50,62,80.6,3,49,9,1,2,Match Report
2021-02-07,Sun,Premier League,Matchweek 23,Away,W 2–1,Chelsea,Sheffield Utd,Y,AMFW,90,1,0,0,0,1,1,0,0,65,14,1,0,2,0.2,0.2,0.0,2,0,39,51,76.5,6,43,5,1,3,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,Mon,Premier League,Matchweek 24,Home,W 2–0,Chelsea,Newcastle Utd,Y,AM,69,0,0,0,0,2,0,0,0,48,16,1,0,1,0.2,0.2,0.4,7,0,30,39,76.9,2,26,7,0,0,Match Report
2021-02-20,Sat,Premier League,Matchweek 25,Away,D 1–1,Chelsea,Southampton,Y,RWFW,90,1,0,1,1,1,0,0,0,63,16,0,0,1,0.8,0.0,0.1,7,2,37,50,74.0,6,40,9,4,4,Match Report
2021-02-23,Tue,Champions Lg,Round of 16,Away,W 1–0,eng Chelsea,es Atlético Madrid,Y,AM,73,0,0,0,0,1,0,1,0,45,21,1,1,0,0.0,0.0,0.3,2,0,25,37,67.6,4,32,9,3,4,Match Report
2021-02-28,Sun,Premier League,Matchweek 26,Home,D 0–0,Chelsea,Manchester Utd,Y,AM,90,0,0,0,0,3,0,0,0,66,20,2,1,6,0.1,0.1,0.0,6,0,37,45,82.2,3,47,8,3,3,Match Report
2021-03-04,Thu,Premier League,Matchweek 29,Away,W 1–0,Chelsea,Liverpool,Y,LW,80,1,0,0,0,3,2,0,0,58,25,3,3,0,0.1,0.1,0.3,5,0,37,45,82.2,7,48,13,1,4,Match Report
2021-03-08,Mon,Premier League,Matchweek 27,Home,W 2–0,Chelsea,Everton,N,LW,25,0,0,0,0,2,1,0,0,26,9,4,1,0,0.1,0.1,0.4,5,0,15,17,88.2,2,14,3,0,1,Match Report
2021-03-13,Sat,Premier League,Matchweek 28,Away,D 0–0,Chelsea,Leeds United,Y,LW,78,0,0,0,0,1,1,0,0,73,18,3,0,2,0.0,0.0,0.2,4,0,48,61,78.7,6,53,11,2,5,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-21,Sun,FA Cup,Quarter-finals,Home,W 2–0,Chelsea,Sheffield Utd,Y*,AM,90,0,0,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2021-03-25,Thu,WCQ — UEFA (M),First round,Home,W 5–0,eng England,sm San Marino,Y,AM,45,0,1,0,0,2,1,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2021-03-28,Sun,WCQ — UEFA (M),First round,Away,W 2–0,eng England,al Albania,Y,FW,90,1,0,0,0,1,1,0,0,,,,1,,,,,,,,,,,,,,,Match Report
2021-03-31,Wed,WCQ — UEFA (M),First round,Home,W 2–1,eng England,pl Poland,Y,FW,90,0,0,0,0,3,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2021-04-03,Sat,Premier League,Matchweek 30,Home,L 2–5,Chelsea,West Brom,N,FWCM,45,1,0,0,0,4,2,0,0,32,17,2,1,0,1.0,1.0,0.0,1,0,17,23,73.9,2,23,4,1,1,Match Report
2021-04-07,Wed,Champions Lg,Quarter-finals,Away,W 2–0,eng Chelsea,pt Porto,Y,AM,79,1,0,0,0,1,1,0,0,24,9,1,1,0,0.1,0.1,0.2,1,0,10,15,66.7,1,17,3,0,2,Match Report
2021-04-10,Sat,Premier League,Matchweek 31,Away,W 4–1,Chelsea,Crystal Palace,Y,RWDM,90,0,1,0,0,5,1,0,0,88,28,3,0,1,0.4,0.4,0.5,9,2,63,75,84.0,6,63,11,2,2,Match Report
2021-04-13,Tue,Champions Lg,Quarter-finals,Home,L 0–1,eng Chelsea,pt Porto,Y,LW,85,0,0,0,0,2,0,0,0,53,16,2,0,2,0.2,0.2,0.1,2,0,33,41,80.5,1,28,6,0,0,Match Report
,,,,,31-11-11,,,45/53,,3942,11,7,1,1,95,29,5,0,2207,677,79,43,46,6.5,5.7,6.9,146,14,1489,1805,82.5,169,1517,243,50,80,
