,,,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Dribbles,Dribbles,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Prog,Carries,Prog,Succ,Att,Match Report
2020-09-08,Tue,UEFA Nations League,League A,Away,D 0–0,eng England,dk Denmark,N,,31,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,Match Report
2020-09-14,Mon,Premier League,Matchweek 1,Away,W 3–1,Chelsea,Brighton,Y,AMLW,90,0,0,0,0,1,0,0,0,54,32,6,0,0,0.0,0.0,0.1,3,1,32,39,82.1,3,37,1,1,4,Match Report
2020-09-20,Sun,Premier League,Matchweek 2,Home,L 0–2,Chelsea,Liverpool,Y,RW,90,0,0,0,0,1,0,0,0,49,20,0,0,4,0.0,0.0,0.0,1,0,26,35,74.3,2,36,5,1,3,Match Report
2020-09-23,Wed,EFL Cup,Third round,Home,W 6–0,Chelsea,Barnsley,Y,AM,90,0,1,0,0,3,1,0,0,,,,2,,,,,,,,,,,,,,,Match Report
2020-09-26,Sat,Premier League,Matchweek 3,Away,D 3–3,Chelsea,West Brom,Y,RWCM,90,1,0,0,0,8,3,0,0,80,21,4,1,3,0.3,0.3,0.3,7,1,53,63,84.1,5,53,11,1,1,Match Report
2020-09-29,Tue,EFL Cup,Fourth round,Away,L 1 (4)–1 (5),Chelsea,Tottenham,Y,AM,90,0,0,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2020-10-08,Thu,Friendlies (M),Friendlies (M),Home,W 3–0,eng England,wal Wales,N,,33,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2020-10-11,Sun,UEFA Nations League,League A,Home,W 2–1,eng England,be Belgium,Y,AM,88,1,0,0,0,2,1,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2020-10-14,Wed,UEFA Nations League,League A,Home,L 0–1,eng England,dk Denmark,Y,CM,72,0,0,0,0,1,1,0,0,,,,0,,,,,,,,,,,,,,,Match Report
