Rank,Club,Country,Level,Elo,From,To
None,Bayern,FRG,1,1357.1763916,1951-07-01,1951-08-19
None,Bayern,FRG,1,1364.53930664,1951-08-20,1951-08-26
None,Bayern,FRG,1,1367.20837402,1951-08-27,1951-09-02
None,Bayern,FRG,1,1349.02502441,1951-09-03,1951-09-09
None,Bayern,FRG,1,1344.11633301,1951-09-10,1951-09-16
None,Bayern,FRG,1,1335.29492188,1951-09-17,1951-09-24
None,Bayern,FRG,1,1354.29492188,1951-09-25,1951-09-30
None,Bayern,FRG,1,1358.11999512,1951-10-01,1951-10-07
None,Bayern,FRG,1,1355.58959961,1951-10-08,1951-10-18
None,Bayern,FRG,1,1340.58959961,1951-10-19,1951-10-21
None,Bayern,FRG,1,1338.87353516,1951-10-22,1951-10-28
None,Bayern,FRG,1,1345.88989258,1951-10-29,1951-11-04
None,Bayern,FRG,1,1339.15441895,1951-11-05,1951-11-11
None,Bayern,FRG,1,1330.01269531,1951-11-12,1951-11-18
None,Bayern,FRG,1,1344.23950195,1951-11-19,1951-11-23
None,Bayern,FRG,1,1353.23950195,1951-11-24,1951-11-25
None,Bayern,FRG,1,1348.51696777,1951-11-26,1951-12-02
None,Bayern,FRG,1,1356.60302734,1951-12-03,1951-12-09
None,Bayern,FRG,1,1364.24975586,1951-12-10,1951-12-25
None,Bayern,FRG,1,1365.24975586,1951-12-26,1951-12-30
None,Bayern,FRG,1,1359.97888184,1951-12-31,1952-01-06
None,Bayern,FRG,1,1370.03430176,1952-01-07,1952-01-13
None,Bayern,FRG,1,1363.70825195,1952-01-14,1952-01-20
None,Bayern,FRG,1,1363.63684082,1952-01-21,1952-01-27
None,Bayern,FRG,1,1380.00708008,1952-01-28,1952-02-03
None,Bayern,FRG,1,1386.06835938,1952-02-04,1952-02-10
None,Bayern,FRG,1,1378.35717773,1952-02-11,1952-02-17
None,Bayern,FRG,1,1380.87145996,1952-02-18,1952-03-02
None,Bayern,FRG,1,1388.63464355,1952-03-03,1952-03-09
None,Bayern,FRG,1,1393.78637695,1952-03-10,1952-03-16
None,Bayern,FRG,1,1399.22131348,1952-03-17,1952-03-23
None,Bayern,FRG,1,1397.53356934,1952-03-24,1952-03-30
None,Bayern,FRG,1,1382.64538574,1952-03-31,1952-04-06
None,Bayern,FRG,1,1376.87609863,1952-04-07,1952-04-21
None,Bayern,FRG,1,1378.87609863,1952-04-22,1952-04-26
None,Bayern,FRG,1,1388.1739502,1952-04-27,1952-05-07
None,Bayern,FRG,1,1392.1739502,1952-05-08,1952-08-24
None,Bayern,FRG,1,1385.54003906,1952-08-25,1952-08-31
None,Bayern,FRG,1,1392.98266602,1952-09-01,1952-09-07
None,Bayern,FRG,1,1388.53540039,1952-09-08,1952-09-14
None,Bayern,FRG,1,1388.53979492,1952-09-15,1952-09-21
None,Bayern,FRG,1,1375.73828125,1952-09-22,1952-09-28
None,Bayern,FRG,1,1379.44812012,1952-09-29,1952-10-06
None,Bayern,FRG,1,1360.44812012,1952-10-07,1952-10-12
None,Bayern,FRG,1,1355.47631836,1952-10-13,1952-10-19
None,Bayern,FRG,1,1354.8972168,1952-10-20,1952-10-26
None,Bayern,FRG,1,1357.88952637,1952-10-27,1952-11-02
None,Bayern,FRG,1,1359.88806152,1952-11-03,1952-11-10
None,Bayern,FRG,1,1365.88806152,1952-11-11,1952-11-16
None,Bayern,FRG,1,1359.46765137,1952-11-17,1952-11-23
None,Bayern,FRG,1,1350.23803711,1952-11-24,1952-11-30
None,Bayern,FRG,1,1354.41247559,1952-12-01,1952-12-07
None,Bayern,FRG,1,1351.29785156,1952-12-08,1952-12-14
None,Bayern,FRG,1,1354.58618164,1952-12-15,1952-12-25
None,Bayern,FRG,1,1362.58618164,1952-12-26,1952-12-29
None,Bayern,FRG,1,1364.58618164,1952-12-30,1953-01-04
None,Bayern,FRG,1,1372.94946289,1953-01-05,1953-01-11
None,Bayern,FRG,1,1369.98718262,1953-01-12,1953-01-18
None,Bayern,FRG,1,1369.90625,1953-01-19,1953-01-25
None,Bayern,FRG,1,1392.65405273,1953-01-26,1953-02-01
None,Bayern,FRG,1,1386.50439453,1953-02-02,1953-02-08
None,Bayern,FRG,1,1388.02807617,1953-02-09,1953-02-15
None,Bayern,FRG,1,1393.96789551,1953-02-16,1953-02-22
None,Bayern,FRG,1,1388.63085938,1953-02-23,1953-03-01
None,Bayern,FRG,1,1394.84094238,1953-03-02,1953-03-15
None,Bayern,FRG,1,1404.34753418,1953-03-16,1953-03-22
None,Bayern,FRG,1,1409.87182617,1953-03-23,1953-03-23
None,Bayern,FRG,1,1405.87182617,1953-03-24,1953-03-29
None,Bayern,FRG,1,1410.47631836,1953-03-30,1953-04-11
None,Bayern,FRG,1,1401.81884766,1953-04-12,1953-04-18
None,Bayern,FRG,1,1384.20288086,1953-04-19,1953-04-26
None,Bayern,FRG,1,1376.2878418,1953-04-27,1953-08-16
None,Bayern,FRG,1,1370.59655762,1953-08-17,1953-08-20
None,Bayern,FRG,1,1359.59655762,1953-08-21,1953-08-23
None,Bayern,FRG,1,1356.13989258,1953-08-24,1953-08-30
