season_id,player_name,team_name,pos_grp,pos_11,minutes_played,euro,ovaep,dvaep,vaep,davies,xga
2020,Daniel Parejo,Villarreal,M,MC,3137,25000000,11.99275841691764,-0.07831281679682434,11.914445600120816,4.25,6.81
2020,Sergio Herrera,Osasuna,G,GK,3048,20000000,5.902093614335172,2.1642258886713535,8.066319503006525,,
2020,Ruben Duarte,Deportivo Alaves,D,DL,2519,70000000,6.757495326164179,-0.6584900255547836,6.099005300609395,1.19,4.05
2020,Fernando,Sevilla,M,MC,2616,2500000,5.403741759015247,0.39609258994460106,5.799834348959848,1.63,3.53
2020,Daniel Wass,Valencia,D,DR,3107,18000000,5.178620781806044,0.05936508363811299,5.237985865444157,2.55,4.84
2020,Marco Asensio,Real Madrid,F,FWR,1871,13000000,4.173111600887962,-0.0015463343588635325,4.1715652665290985,1.59,4.64
2020,Angel Montoro,Granada,M,MC,1448,3000000,3.590918736866422,-0.10617528698639944,3.4847434498800225,-0.69,1.87
2020,Pablo Maffeo,SD Huesca,M,MR,1927,7000000,4.931074251886457,-1.4914610509295017,3.4396132009569556,-0.13,3.3
2020,Alfonso Espino,Cadiz,D,DL,2727,6000000,3.6118186701787636,-0.35421509307343513,3.2576035771053284,0.76,3.62
2020,Ruben Vezo,Levante,D,DC,2429,50000000,4.242999207810499,-1.2144582602195442,3.0285409475909546,0.94,3.96
2020,Mickael Malsa,Levante,M,MC,2298,4500000,2.6599096129648387,0.3084597806446254,2.968369393609464,0.65,2.71
2020,Shon Weissman,Real Valladolid,F,FWC,2080,6000000,2.806664494681172,-0.35790760681265965,2.4487568878685124,-0.44,3.14
2020,David Timor,Getafe,D,DC,1432,250000,3.1766436087973418,-0.7412231366033666,2.435420472193975,-0.15,1.76
2020,Renato Tapia,Celta Vigo,M,MC,2862,300000,2.14935795601923,0.03150819585425779,2.180866151873488,1.4,3.46
2020,Sergio Ramos,Real Madrid,D,DC,1360,1500000,2.1971560841230264,-0.23891395382815972,1.958242130294867,2.54,4.25
2020,Jairo Izquierdo,Cadiz,D,DL,1338,5000000,1.5316460940940306,0.3967229820555076,1.9283690761495382,-1.54,1.59
2020,Robin Le Normand,Real Sociedad,D,DC,2726,4000000,1.5072681630845182,0.11363185790833086,1.620900020992849,1.4,4.42
2020,Emerson,Real Betis,D,DR,3036,15000000,3.7450054209912196,-2.2907838905230165,1.4542215304682031,2.49,5.23
2020,Nemanja Maksimovic,Getafe,M,MC,2691,10000000,1.7424865769571625,-0.4403903254424222,1.3020962515147403,-0.89,2.24
2020,Jaime Seoane,SD Huesca,M,MC,2016,60000000,1.5436104050474242,-0.5653842386673205,0.9782261663801037,-0.68,2.45
2020,Kevin Gameiro,Valencia,F,FWC,1176,1500000,1.3768413931247778,-0.4699190743267536,0.9069223187980242,-1.82,2.01
2020,Pedro Leon,Eibar,M,MR,955,35000000,1.0312532161986456,-0.2003909884369932,0.8308622277616524,-1.93,1.74
2020,Marcos de Sousa,Real Valladolid,F,FWC,1159,85000000,1.0423599168425426,-0.22113455721409991,0.8212253596284427,,
2020,Aaron Escandell,Granada,G,GK,288,6000000,0.3678157743997872,0.23733574768994004,0.6051515220897272,,
2020,Kike Garcia,Eibar,F,FWC,3055,20000000,1.3460183778079227,-0.7515154908760451,0.5945028869318776,,
2020,Thomas Partey,Atletico,M,MC,213,45000000,0.5515165499462746,0.018840939737856388,0.570357489684131,,
2020,Jaume Costa,Villarreal,D,DR,377,2500000,0.4748264322374016,0.05684688239125535,0.531673314628657,-1.59,0.7
2020,David Gil,Cadiz,G,GK,197,22000000,0.28017388831358403,0.10795751283876598,0.38813140115235,,
2020,Christian Oliva,Valencia,M,MC,230,800000,0.0936698499135673,0.01645631605060771,0.11012616596417502,,
2020,Kelechi Nwakali,SD Huesca,M,MC,157,15000000,0.0409661375451833,0.05536857491824776,0.09633471246343106,,
2020,Diego Llorente,Real Sociedad,D,DC,99,20000000,0.08278315304778516,-0.034555960446596146,0.04822719260118902,,
2020,Okay Yokuslu,Celta Vigo,M,MC,510,5000000,0.22268830449320376,-0.19293828355148435,0.029750020941719413,-1.32,0.74
2020,Juan Sanchez Mino,Elche,D,DL,531,28000000,0.057128702057525516,-0.07383142079925165,-0.01670271874172613,-1.46,0.44
2020,Ruben Sobrino,Valencia,,,74,2000000,-0.02299593319185078,-5.728690885007381e-4,-0.02356880228035152,,
2020,Gabriel Veiga,Celta Vigo,M,MC,141,25000000,-0.035684638016391546,-0.004633456177543849,-0.040318094193935394,,
2020,Ramon Azeez,Granada,M,MC,115,2500000,-0.0617377347080037,0.0021145265782251954,-0.059623208129778504,,
2020,Martin Odegaard,Real Madrid,F,FWC,257,40000000,-0.12497600018605588,-0.04785027931211516,-0.17282627949817106,,
2020,Ruben Sobrino,Cadiz,F,FWC,1068,2000000,-0.10781763913109899,-0.1514552644221112,-0.2592729035532102,-0.65,2.41
2020,Denis Vavro,SD Huesca,D,DC,568,20000000,0.5396728138439357,-0.8263947244267911,-0.28672191058285534,-2.54,0.48
2020,Luka Jovic,Real Madrid,F,FWC,162,10000000,-0.3596039719413966,-0.034183046664111316,-0.3937870186055079,,
2020,Guillem Molina,Valencia,D,DR,160,16000000,0.10611192020587623,-0.754506291646976,-0.6483943714410998,,
2020,Willian Jose,Real Sociedad,F,FWC,738,20000000,-0.6517173020674587,-0.16552164865424857,-0.8172389507217073,-1.48,2.1
2020,Deyverson,Deportivo Alaves,F,FWC,973,56000000,-0.28960109245963395,-0.5842422409332357,-0.8738433333928697,-2,1.67
